,LNG
% Below High,0.0508
% Held by Institutions,0.8547
52-Wk Range,['97.85 - 182.35']
Annual Dividend $,1.58
Annual Dividend %,0.0091
Ask,195.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,161.99
Bid Size,100.0
Change Since Close,-11.08| |(-6.40%)
Closing Price,173.08
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",-15.27
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.392
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,162.0
Market Cap,43.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,173.08
Short Interest,0.0152
Today's Open,
Volume,187.0
Volume 10-day Avg,2142052.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.6441647597254003
Growth 2yr High Est,0.5404949381327333
Growth 2yr Consensus Est,-0.5518349107963335
Growth 5yr Low Est,-1.6441647597254003
Growth 5yr High Est,0.5404949381327333
Growth 5yr Consensus Est,-0.5518349107963335
Growth 5yr Actual/Est,3.576507338999568
Growth 3yr Historic,6.267606046402624
Price/Earnings (TTM),
Price/Sales (TTM),1.39281
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,27.06
5yr High,182.35
5yr Avg Return,0.27098333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.6535826
Dividend Growth 5yr,
Short Int Current Month,3712846.0
Short Int Prev Month,3489342.0
Short Int Pct of Float,0.015197099999999998
Days to Cover,1.3119
Float,246.6974
Shares Outstanding,248.6594
Institutions Holding Shares,1247.0
FCF Growth 5yr,0.6083653460334755
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0176
Operating Profit Margin (TTM),-0.0575
Net Profit Margin (TTM),-0.1165
Annual Dividend Yield,0.0091
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-4.2959
EPS Growth (TTM),-2.1652
Revenue Growth (MRQ),0.10550000000000001
Revenue Growth (TTM),1.555
Return On Equity (TTM),
Return On Assets (TTM),-0.0859
Return On Investment (TTM),-0.11170000000000001
Revenue Per Employee (TTM),19935480.0
Total Debt/Total Capital (MRQ),1.19
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),0.65
Interest Coverage (MRQ),-8.52
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-04-21 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
