,LNG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,9.13,Valuation,
Price/Sales (TTM),1.39,7.57,Valuation,0.18361955085865256
Price/Book (MRQ),,4.65,Valuation,
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.0176,0.35119999999999996,Profitability,0.050113895216400924
Operating Profit Margin (TTM),-0.0575,0.192,Profitability,-0.2994791666666667
Net Profit Margin (TTM),-0.1165,0.0358,Profitability,-3.2541899441340787
Annual Dividend Yield,0.0091,0.0379,Dividend,0.24010554089709762
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),-4.2959,2.3421000000000003,Gowth rates,-1.834208616199137
EPS Growth (TTM),-2.1652,7.2215,Gowth rates,-0.2998269057674998
Revenue Growth (MRQ),0.10550000000000001,0.7168000000000001,Gowth rates,0.14718191964285712
Revenue Growth (TTM),1.555,47.807,Gowth rates,0.032526617440960526
Return On Equity (TTM),,0.3993,Effectiveness,
Return On Assets (TTM),-0.0859,0.15810000000000002,Effectiveness,-0.5433270082226439
Return On Investment (TTM),-0.11170000000000001,0.2237,Effectiveness,-0.49932945909700494
Revenue Per Employee (TTM),19935480.0,7554984.0,Effectiveness,2.638719023097865
Total Debt/Total Capital (MRQ),1.19,0.3658,Financial strength,3.2531437944231816
Change in Debt/Total Capital Quarter over Quarter,-0.0018,-0.002,Financial strength,0.8999999999999999
Quick Ratio (MRQ),0.65,0.96,Financial strength,0.6770833333333334
Interest Coverage (MRQ),-8.52,13.28,Financial strength,-0.641566265060241
