,CUBI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",3.73,11.43,Valuation,0.326334208223972
Price/Sales (TTM),1.45,3.3,Valuation,0.4393939393939394
Price/Book (MRQ),0.84,1.46,Valuation,0.5753424657534246
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.5119,0.34240000000000004,Profitability,1.495035046728972
Net Profit Margin (TTM),0.4164,0.2812,Profitability,1.4807965860597438
Annual Dividend Yield,,0.028700000000000003,Dividend,
Dividend Change %,,-0.0086,Dividend,
"Dividend Growth Rate, 3 Years",,0.0734,Dividend,
EPS Growth (MRQ),0.09720000000000001,-0.0335,Gowth rates,-2.901492537313433
EPS Growth (TTM),-0.0271,-0.09960000000000001,Gowth rates,0.27208835341365456
Revenue Growth (MRQ),0.2016,0.5429,Gowth rates,0.37133910480751514
Revenue Growth (TTM),0.1525,0.2466,Gowth rates,0.6184103811841037
Return On Equity (TTM),0.2446,0.1135,Effectiveness,2.155066079295154
Return On Assets (TTM),0.015300000000000001,0.0099,Effectiveness,1.5454545454545454
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0055000000000000005,0.0009,Financial strength,6.111111111111112
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
