,HTLD
% Below High,0.052300000000000006
% Held by Institutions,0.5622
52-Wk Range,['12.78 - 17.59']
Annual Dividend $,0.08
Annual Dividend %,0.0048
Ask,16.8
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.6
Bid,15.5
Bid Size,1000.0
Closing Price,16.67
Day Change $,0.17
Day Change %,0.0103
Day High,16.69
Day Low,16.28
Dividend Pay Date,2022-12-19 00:00:00
"EPS (TTM, GAAP)",1.75
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.27399999999999997
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.51
Prev Close,16.5
Short Interest,0.032400000000000005
Today's Open,16.55
Volume,108623.0
Volume 10-day Avg,294315.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.10204081632653073
Growth 1yr High Est,0.11650485436893199
Growth 1yr Consensus Est,0.10927283534773136
Growth 2yr Low Est,9.448223733937722e-05
Growth 2yr High Est,0.12346981848881389
Growth 2yr Consensus Est,0.06178215036307663
Growth 5yr Low Est,0.05104338031508896
Growth 5yr High Est,0.13474766925471485
Growth 5yr Consensus Est,0.09289552478490191
Growth 5yr Actual/Est,0.05950620145384772
Growth 3yr Historic,0.03173834431099054
Price/Earnings (TTM),9.50806
Price/Sales (TTM),1.72869
Price/Book (MRQ),1.56489
Price/Cash Flow (TTM),5.33217
5yr Low,12.78
5yr High,23.89
5yr Avg Return,-0.03833333333333334
EPS Growth 5yr,0.0804301
Revenue Growth 5yr,-0.0018514
Dividend Growth 5yr,0.0
Short Int Current Month,1435437.0
Short Int Prev Month,1890946.0
Short Int Pct of Float,0.032351
Days to Cover,3.85487
Float,44.36946
Shares Outstanding,78.93846
Institutions Holding Shares,250.0
FCF Growth 5yr,-0.4916666666666667
"Price/Earnings (TTM, GAAP)",9.51
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2479
Net Profit Margin (TTM),0.1819
Annual Dividend Yield,0.0048
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.6826000000000001
EPS Growth (TTM),0.8319
Revenue Growth (MRQ),0.4587
Revenue Growth (TTM),0.2379
Return On Equity (TTM),0.17870000000000003
Return On Assets (TTM),0.1041
Return On Investment (TTM),0.1162
Revenue Per Employee (TTM),239376.0
Total Debt/Total Capital (MRQ),0.3561
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),15.43
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-06-21 00:00:00
researchTeam since,2021-08-13 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
