,FNB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.35,11.29,Valuation,1.0938883968113375
Price/Sales (TTM),3.69,3.28,Valuation,1.125
Price/Book (MRQ),0.93,1.42,Valuation,0.6549295774647887
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.37570000000000003,0.3468,Profitability,1.0833333333333335
Net Profit Margin (TTM),0.2998,0.2848,Profitability,1.0526685393258428
Annual Dividend Yield,0.0342,0.028999999999999998,Dividend,1.1793103448275863
Dividend Change %,0.0,-0.0087,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.0,0.0742,Dividend,0.0
EPS Growth (MRQ),0.2712,-0.048,Gowth rates,-5.6499999999999995
EPS Growth (TTM),-0.0038,-0.10490000000000001,Gowth rates,0.03622497616777883
Revenue Growth (MRQ),0.225,0.5294,Gowth rates,0.42500944465432566
Revenue Growth (TTM),0.0893,0.22469999999999998,Gowth rates,0.3974187805963507
Return On Equity (TTM),0.076,0.1153,Effectiveness,0.6591500433651344
Return On Assets (TTM),0.0097,0.0101,Effectiveness,0.9603960396039605
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0016,0.0009,Financial strength,1.777777777777778
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
