,FNB
% Below High,0.046900000000000004
% Held by Institutions,0.7754000000000001
52-Wk Range,['10.48 - 14.71']
Annual Dividend $,0.48
Annual Dividend %,0.0342
Ask,15.15
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,1.1
Bid,12.0
Bid Size,100.0
Closing Price,14.02
Day Change $,0.14
Day Change %,0.0101
Day High,14.09
Day Low,13.88
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.14
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.28800000000000003
Last (size),4200.0
Last (time),5:00p ET 11/25/22
Market Cap,4.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.35
Prev Close,13.88
Short Interest,0.025699999999999997
Today's Open,13.94
Volume,622784.0
Volume 10-day Avg,2235680.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.11570247933884303
Growth 1yr High Est,0.08730158730158744
Growth 1yr Consensus Est,0.10150203332021523
Growth 2yr Low Est,0.03933272115090297
Growth 2yr High Est,0.19328583014714407
Growth 2yr Consensus Est,0.11630927564902352
Growth 5yr Low Est,0.046528387437478363
Growth 5yr High Est,0.13073074375343108
Growth 5yr Consensus Est,0.08862956559545472
Growth 5yr Actual/Est,0.09230360046278002
Growth 3yr Historic,0.02370233050847459
Price/Earnings (TTM),12.34927
Price/Sales (TTM),3.69496
Price/Book (MRQ),0.92802
Price/Cash Flow (TTM),14.13218
5yr Low,5.05
5yr High,14.92
5yr Avg Return,0.034633333333333335
EPS Growth 5yr,0.0938228
Revenue Growth 5yr,0.08159330000000001
Dividend Growth 5yr,0.0
Short Int Current Month,8905200.0
Short Int Prev Month,10716610.0
Short Int Pct of Float,0.025708799999999997
Days to Cover,3.06481
Float,347.265
Shares Outstanding,350.7844
Institutions Holding Shares,475.0
FCF Growth 5yr,0.38028274190520084
"Price/Earnings (TTM, GAAP)",12.35
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.37570000000000003
Net Profit Margin (TTM),0.2998
Annual Dividend Yield,0.0342
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.2712
EPS Growth (TTM),-0.0038
Revenue Growth (MRQ),0.225
Revenue Growth (TTM),0.0893
Return On Equity (TTM),0.076
Return On Assets (TTM),0.0097
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-17 00:00:00
researchTeam since,2022-10-21 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
