,LTH
% Above Low,0.4594
% Held by Institutions,0.8567
52-Wk Range,['8.75 - 23.17']
Annual Dividend $,
Annual Dividend %,
Ask,13.56
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,12.77
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.99
Ex-dividend Date,No dividend
Historical Volatility,0.612
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,12.77
Short Interest,0.0966
Today's Open,
Volume,167525.0
Volume 10-day Avg,480848.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.0833333333333333
Growth 2yr High Est,-5.777777777777778
Growth 2yr Consensus Est,-3.4305555555555554
Growth 5yr Low Est,-1.0833333333333333
Growth 5yr High Est,-5.777777777777778
Growth 5yr Consensus Est,-3.4305555555555554
Growth 5yr Actual/Est,-2.267105263157895
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.55075
Price/Book (MRQ),1.19056
Price/Cash Flow (TTM),
5yr Low,8.75
5yr High,23.37
5yr Avg Return,-0.1097
Short Int Current Month,5182528.0
Short Int Prev Month,4682029.0
Short Int Pct of Float,0.09657310000000001
Days to Cover,7.49951
Float,166.255
Shares Outstanding,194.1887
Institutions Holding Shares,114.0
FCF Growth 5yr,0.19887899085443714
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3935
Operating Profit Margin (TTM),-0.2163
Net Profit Margin (TTM),-0.245
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9401999999999999
EPS Growth (TTM),0.1116
Revenue Growth (MRQ),0.1759
Revenue Growth (TTM),0.5495
Return On Equity (TTM),-0.22920000000000001
Return On Assets (TTM),-0.0621
Return On Investment (TTM),-0.0668
Revenue Per Employee (TTM),205011.0
Total Debt/Total Capital (MRQ),0.4683
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),0.28
Interest Coverage (MRQ),0.0
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-10 00:00:00
theStreet since,2022-11-10 00:00:00
ford since,2021-12-31 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
