,LTH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,103.69,Valuation,
Price/Sales (TTM),1.55,5.63,Valuation,0.2753108348134991
Price/Book (MRQ),1.19,8.51,Valuation,0.1398354876615746
"PEG Ratio (TTM, GAAP)",,0.48,Valuation,
Gross Profit Margin (TTM),0.3935,0.4058,Profitability,0.9696895022178413
Operating Profit Margin (TTM),-0.2163,0.1648,Profitability,-1.3125
Net Profit Margin (TTM),-0.245,0.0801,Profitability,-3.058676654182272
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.0563,Dividend,
"Dividend Growth Rate, 3 Years",,0.0311,Dividend,
EPS Growth (MRQ),0.9401999999999999,0.3321,Gowth rates,2.8310749774164408
EPS Growth (TTM),0.1116,2.1422,Gowth rates,0.05209597609933714
Revenue Growth (MRQ),0.1759,0.38689999999999997,Gowth rates,0.4546394417162058
Revenue Growth (TTM),0.5495,0.7726000000000001,Gowth rates,0.7112347916127362
Return On Equity (TTM),-0.22920000000000001,0.1915,Effectiveness,-1.1968668407310705
Return On Assets (TTM),-0.0621,0.0764,Effectiveness,-0.8128272251308901
Return On Investment (TTM),-0.0668,0.1012,Effectiveness,-0.6600790513833992
Revenue Per Employee (TTM),205011.0,286353.0,Effectiveness,0.7159380205550492
Total Debt/Total Capital (MRQ),0.4683,1.1601000000000001,Financial strength,0.40367209723299713
Change in Debt/Total Capital Quarter over Quarter,-0.0027,0.002,Financial strength,-1.35
Quick Ratio (MRQ),0.28,0.8,Financial strength,0.35000000000000003
Interest Coverage (MRQ),0.0,40.35,Financial strength,0.0
