,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,69.41,40.73,,,,,
low,33.04,7.34,,,,,
change,-0.2101,-0.7848,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,255477.0,238576.0,228187.0,213122.0,Balance Sheet
"Trade Accts Recvble, Gross",,,18740.0,22630.0,22609.0,20904.0,Balance Sheet
Prov. for Doubtful Accts,,,-1200.0,-1100.0,-900.0,-1200.0,Balance Sheet
"Total Receivables, Net",,,20740.0,24930.0,24309.0,22204.0,Balance Sheet
"Other Curr. Assets, Total",,,4634.0,3662.0,2950.0,6437.0,Balance Sheet
Total Current Assets,,,280851.0,267168.0,255446.0,241763.0,Balance Sheet
Buildings,,,111.0,112.0,402.0,404.0,Balance Sheet
Machinery/Equipment,,,8247.0,9152.0,9972.0,11082.0,Balance Sheet
Other Prop./Plant/Equip.,,,1513.0,1258.0,12121.0,11478.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,9871.0,10522.0,22495.0,22964.0,Balance Sheet
Accumulated Depreciation,,,-3672.0,-4065.0,-4329.0,-5180.0,Balance Sheet
Prop./Plant/Equip. - Net,,,6199.0,6457.0,18166.0,17784.0,Balance Sheet
"Goodwill, Net",,,,5898.0,5898.0,5898.0,Balance Sheet
Intangibles - Net,,,,1173.0,1101.0,1031.0,Balance Sheet
Other Long Term Assets,,,351.0,384.0,737.0,736.0,Balance Sheet
Total Assets,,,287401.0,281080.0,281348.0,267212.0,Balance Sheet
Accounts Payable,,,4686.0,7545.0,8565.0,6843.0,Balance Sheet
Accrued Expenses,,,11689.0,8946.0,11655.0,12664.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,99.0,70.0,39.0,31.0,Balance Sheet
"Other Curr. Lblts, Total",,,2175.0,3035.0,2690.0,2741.0,Balance Sheet
Total Current Liabilities,,,18649.0,19596.0,22949.0,22279.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,219.0,209.0,Balance Sheet
Total Debt,,,99.0,70.0,258.0,240.0,Balance Sheet
"Other Liabilities, Total",,,75.0,653.0,10342.0,9942.0,Balance Sheet
Total Liabilities,,,18724.0,20249.0,33510.0,32430.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,291.0,293.0,294.0,296.0,Balance Sheet
Additional Paid-In Capital,,,395850.0,399851.0,407028.0,414028.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-127464.0,-139313.0,-159484.0,-179542.0,Balance Sheet
Total Equity,,,268677.0,260831.0,247838.0,234782.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,287401.0,281080.0,281348.0,267212.0,Balance Sheet
Ttl Comm. Shares Outs.,,,58010.0,58427.0,58662.0,59014.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,33809.0,34468.0,33710.0,34475.0,Income Statement
"Cost of Revenue, Total",,,8786.0,8969.0,8489.0,8634.0,Income Statement
Selling/Gen/Admin Expense,,,21460.0,22719.0,26781.0,26742.0,Income Statement
Labor & Related Expense,,,1772.0,1619.0,3215.0,3475.0,Income Statement
Advertising Expense,,,100.0,600.0,,,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,23332.0,24938.0,29996.0,30217.0,Income Statement
Research & Development,,,10639.0,12318.0,15181.0,15694.0,Income Statement
Unusual Expense (Income),,,0.0,,,,Income Statement
Total Operating Expense,,,42757.0,46225.0,53666.0,54545.0,Income Statement
Total Operating Income,,,-8948.0,-11757.0,-19956.0,-20070.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,-189.0,-63.0,-171.0,50.0,Income Statement
Income Before Tax,,,-9137.0,-11820.0,-20127.0,-20020.0,Income Statement
Income Tax - Total,,,-29.0,29.0,44.0,38.0,Income Statement
Income After Tax,,,-9108.0,-11849.0,-20171.0,-20058.0,Income Statement
Net Inc Before Extra Items,,,-9108.0,-11849.0,-20171.0,-20058.0,Income Statement
Total Net Income,,,-9108.0,-11849.0,-20171.0,-20058.0,Income Statement
Total Adjust to Net Income,,,0.0,0.0,0.0,0.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-9108.0,-11849.0,-20171.0,-20058.0,Income Statement
