,LAW
% Above Low,0.058600000000000006
% Held by Institutions,0.8634999999999999
52-Wk Range,['7.34 - 40.73']
Annual Dividend $,
Annual Dividend %,
Ask,10.3
Ask Size,3500.0
B/A Ratio,0.02857142857142857
B/A Size,100x3500
Beta,
Bid,7.16
Bid Size,100.0
Change Since Close,-0.24| |(-3.09%)
Closing Price,7.77
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.04
Ex-dividend Date,No dividend
Historical Volatility,1.1620000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,7.53
Market Cap,458.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.77
Short Interest,0.031200000000000002
Today's Open,
Volume,4.0
Volume 10-day Avg,440743.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.26041666666666674
Growth 2yr High Est,-0.3820224719101123
Growth 2yr Consensus Est,-0.060802902621722776
Growth 5yr Low Est,0.26041666666666674
Growth 5yr High Est,-0.3820224719101123
Growth 5yr Consensus Est,-0.060802902621722776
Growth 5yr Actual/Est,0.28527841342486654
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.36155
Price/Book (MRQ),1.95304
Price/Cash Flow (TTM),
5yr Low,7.34
5yr High,69.41
5yr Avg Return,-0.49745000000000006
Short Int Current Month,1361024.0
Short Int Prev Month,1802431.0
Short Int Pct of Float,0.0311903
Days to Cover,2.98831
Float,53.7848
Shares Outstanding,59.03775
Institutions Holding Shares,125.0
FCF Growth 5yr,0.38869573555986775
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7444
Operating Profit Margin (TTM),-0.445
Net Profit Margin (TTM),-0.4484
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0106
EPS Growth (TTM),-2.2606
Revenue Growth (MRQ),0.0227
Revenue Growth (TTM),0.3685
Return On Equity (TTM),-0.24050000000000002
Return On Assets (TTM),-0.2177
Return On Investment (TTM),-0.23579999999999998
Revenue Per Employee (TTM),290345.0
Total Debt/Total Capital (MRQ),0.001
Change in Debt/Total Capital Quarter over Quarter,0.0108
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-18 00:00:00
theStreet since,2022-11-18 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
