,JHG
% Above Low,0.3258
% Held by Institutions,0.8527
52-Wk Range,['19.09 - 45.55']
Annual Dividend $,1.56
Annual Dividend %,0.0616
Ask,45.0
Ask Size,10000.0
B/A Ratio,0.01
B/A Size,100x10000
Beta,1.5
Bid,23.01
Bid Size,100.0
Closing Price,25.31
Day Change $,0.29
Day Change %,0.0116
Day High,25.32
Day Low,24.89
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",2.63
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.42700000000000005
Last (size),778.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",9.64
Prev Close,25.02
Short Interest,0.0285
Today's Open,25.01
Volume,285783.0
Volume 10-day Avg,1145754.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.45238095238095244
Growth 1yr High Est,-0.444700460829493
Growth 1yr Consensus Est,-0.4485407066052227
Growth 2yr Low Est,-0.3870600414078675
Growth 2yr High Est,-0.25761993995831495
Growth 2yr Consensus Est,-0.3223399906830912
Growth 5yr Low Est,-0.011431255271835
Growth 5yr High Est,0.05174558557639805
Growth 5yr Consensus Est,0.020157165152281525
Growth 5yr Actual/Est,0.0029378022139220084
Growth 3yr Historic,0.16013759802009497
Price/Earnings (TTM),9.63944
Price/Sales (TTM),1.73932
Price/Book (MRQ),0.98817
Price/Cash Flow (TTM),11.86754
5yr Low,11.81
5yr High,48.55
5yr Avg Return,0.0017833333333333338
EPS Growth 5yr,0.1665092
Revenue Growth 5yr,0.2213362
Dividend Growth 5yr,-0.34852690000000003
Short Int Current Month,4698484.0
Short Int Prev Month,5829974.0
Short Int Pct of Float,0.028539400000000003
Days to Cover,3.26887
Float,164.7003
Shares Outstanding,165.6579
Institutions Holding Shares,361.0
FCF Growth 5yr,-0.4636830836617145
"Price/Earnings (TTM, GAAP)",9.64
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7004
Operating Profit Margin (TTM),0.2404
Net Profit Margin (TTM),0.1322
Annual Dividend Yield,0.0616
Dividend Change %,0.0556
"Dividend Growth Rate, 3 Years",0.0182
EPS Growth (MRQ),-0.11970000000000001
EPS Growth (TTM),-0.3148
Revenue Growth (MRQ),-0.0587
Revenue Growth (TTM),-0.11599999999999999
Return On Equity (TTM),0.09609999999999999
Return On Assets (TTM),0.0497
Return On Investment (TTM),0.057699999999999994
Revenue Per Employee (TTM),1095727.0
Total Debt/Total Capital (MRQ),0.0655
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-10-11 00:00:00
researchTeam since,2022-05-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-27 00:00:00
cfra since,
marketEdge opinion since,
