,JHG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.64,20.51,Valuation,0.47001462701121405
Price/Sales (TTM),1.74,12.46,Valuation,0.13964686998394862
Price/Book (MRQ),0.99,4.63,Valuation,0.21382289416846653
"PEG Ratio (TTM, GAAP)",,2.67,Valuation,
Gross Profit Margin (TTM),0.7004,0.5835,Profitability,1.2003427592116538
Operating Profit Margin (TTM),0.2404,0.269,Profitability,0.8936802973977694
Net Profit Margin (TTM),0.1322,0.1791,Profitability,0.7381351200446679
Annual Dividend Yield,0.0616,0.0257,Dividend,2.396887159533074
Dividend Change %,0.0556,0.2049,Dividend,0.27135187896534896
"Dividend Growth Rate, 3 Years",0.0182,0.1213,Dividend,0.15004122011541632
EPS Growth (MRQ),-0.11970000000000001,-0.2356,Gowth rates,0.5080645161290324
EPS Growth (TTM),-0.3148,-0.0768,Gowth rates,4.098958333333334
Revenue Growth (MRQ),-0.0587,0.0931,Gowth rates,-0.6305048335123523
Revenue Growth (TTM),-0.11599999999999999,0.0447,Gowth rates,-2.5950782997762865
Return On Equity (TTM),0.09609999999999999,0.1783,Effectiveness,0.5389792484576557
Return On Assets (TTM),0.0497,0.0492,Effectiveness,1.0101626016260163
Return On Investment (TTM),0.057699999999999994,0.1008,Effectiveness,0.5724206349206349
Revenue Per Employee (TTM),1095727.0,1125238.0,Effectiveness,0.9737735483515487
Total Debt/Total Capital (MRQ),0.0655,0.5241,Financial strength,0.12497614958977295
Change in Debt/Total Capital Quarter over Quarter,0.0008,0.0008,Financial strength,1.0
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),,21.92,Financial strength,
