,CLVT
% Above Low,0.2013
% Held by Institutions,0.9118
52-Wk Range,['8.00 - 25.63']
Annual Dividend $,
Annual Dividend %,
Ask,30.0
Ask Size,100.0
B/A Ratio,70.0
B/A Size,7000x100
Beta,1.0
Bid,8.0
Bid Size,7000.0
Closing Price,9.61
Day Change $,-0.23
Day Change %,-0.023399999999999997
Day High,9.84
Day Low,9.32
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.64
Ex-dividend Date,No dividend
Historical Volatility,0.561
Last (size),462.0
Last (time),5:00p ET 11/25/22
Market Cap,6.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.84
Short Interest,0.0716
Today's Open,9.74
Volume,9944101.0
Volume 10-day Avg,7842778.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.15384615384615374
Growth 1yr High Est,0.16901408450704225
Growth 1yr Consensus Est,0.161430119176598
Growth 2yr Low Est,0.0502564102564102
Growth 2yr High Est,0.10257933141014763
Growth 2yr Consensus Est,0.07641787083327892
Growth 5yr Low Est,0.15303518187239115
Growth 5yr High Est,0.11269317447700367
Growth 5yr Consensus Est,0.13286417817469742
Growth 5yr Actual/Est,0.11091457023060797
Growth 3yr Historic,0.08313679245283018
Price/Earnings (TTM),
Price/Sales (TTM),2.54556
Price/Book (MRQ),1.38301
Price/Cash Flow (TTM),
5yr Low,8.0
5yr High,34.79
5yr Avg Return,0.14148000000000002
Short Int Current Month,29582298.0
Short Int Prev Month,28548397.0
Short Int Pct of Float,0.07159449999999999
Days to Cover,4.25531
Float,555.4363
Shares Outstanding,674.1888
Institutions Holding Shares,411.0
FCF Growth 5yr,0.9384483259783845
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6445000000000001
Operating Profit Margin (TTM),-1.5878
Net Profit Margin (TTM),-1.7268000000000001
EPS Growth (MRQ),-103.1979
EPS Growth (TTM),-24.7683
Revenue Growth (MRQ),-0.0741
Revenue Growth (TTM),0.4365
Return On Equity (TTM),-0.6304
Return On Assets (TTM),-0.2756
Return On Investment (TTM),-0.324
Revenue Per Employee (TTM),229401.0
Total Debt/Total Capital (MRQ),0.474
Change in Debt/Total Capital Quarter over Quarter,0.0036
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-22 00:00:00
ford since,2022-04-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-11-22 00:00:00
marketEdge opinion since,
