,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,9.7,18.45,33.55,34.79,24.85,,,,,
low,9.5,9.53,15.0,20.31,8.0,,,,,
change,-0.015500000000000002,0.7629000000000001,0.7622,-0.2113,-0.5909000000000001,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,431.0,500.0,360.0,446.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,913.0,,,,Balance Sheet
Prov. for Doubtful Accts,,,,,,-7.0,,,,Balance Sheet
"Total Receivables, Net",,,,,,906.0,860.0,812.0,749.0,Balance Sheet
Prepaid Expenses,,,,,,77.0,98.0,102.0,99.0,Balance Sheet
Restricted Cash - Current,,,,,,157.0,16.0,13.0,9.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,,,78.0,Balance Sheet
Other Current Assets,,,,,,67.0,77.0,73.0,72.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,223.0,92.0,86.0,158.0,Balance Sheet
Total Current Assets,,,,,,1637.0,1550.0,1360.0,1452.0,Balance Sheet
Buildings,,,,,,12.0,14.0,16.0,16.0,Balance Sheet
Machinery/Equipment,,,,,,46.0,47.0,48.0,45.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,154.0,150.0,140.0,110.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,211.0,211.0,204.0,171.0,Balance Sheet
Accumulated Depreciation,,,,,,-41.0,-50.0,-59.0,-51.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,170.0,161.0,145.0,119.0,Balance Sheet
"Goodwill, Net",,,,,,7905.0,7803.0,7534.0,2804.0,Balance Sheet
Intangibles - Gross,,,,,,11842.0,11742.0,11432.0,11089.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-1449.0,-1604.0,-1734.0,-1840.0,Balance Sheet
Intangibles - Net,,,,,,10392.0,10138.0,9697.0,9249.0,Balance Sheet
Other Long Term Assets,,,,,,51.0,63.0,71.0,101.0,Balance Sheet
Total Assets,,,,,,20183.0,19744.0,18836.0,13749.0,Balance Sheet
Accounts Payable,,,,,,129.0,117.0,117.0,106.0,Balance Sheet
Accrued Expenses,,,,,,683.0,527.0,492.0,553.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,31.0,31.0,57.0,57.0,Balance Sheet
Customer Advances,,,,,,1030.0,1081.0,957.0,858.0,Balance Sheet
Income Taxes Payable,,,,,,29.0,36.0,40.0,,Balance Sheet
Discontinued Operations,,,,,,,,,58.0,Balance Sheet
Other Current Liabilities,,,,,,0.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,,,1059.0,1116.0,996.0,916.0,Balance Sheet
Total Current Liabilities,,,,,,1902.0,1791.0,1662.0,1633.0,Balance Sheet
