,CLVT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,,Valuation,
Price/Sales (TTM),2.55,,Valuation,
Price/Book (MRQ),1.38,,Valuation,
"PEG Ratio (TTM, GAAP)",,,Valuation,
Gross Profit Margin (TTM),0.6445000000000001,,Profitability,
Operating Profit Margin (TTM),-1.5878,,Profitability,
Net Profit Margin (TTM),-1.7268000000000001,,Profitability,
EPS Growth (MRQ),-103.1979,,Gowth rates,
EPS Growth (TTM),-24.7683,,Gowth rates,
Revenue Growth (MRQ),-0.0741,,Gowth rates,
Revenue Growth (TTM),0.4365,,Gowth rates,
Return On Equity (TTM),-0.6304,,Effectiveness,
Return On Assets (TTM),-0.2756,,Effectiveness,
Return On Investment (TTM),-0.324,,Effectiveness,
Revenue Per Employee (TTM),229401.0,,Effectiveness,
Total Debt/Total Capital (MRQ),0.474,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0036,,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
