,INTU,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",54.16,54.08,Valuation,1.0014792899408285
Price/Sales (TTM),8.66,9.39,Valuation,0.9222577209797657
Price/Book (MRQ),6.73,12.63,Valuation,0.5328582739509106
"PEG Ratio (TTM, GAAP)",3.25,1.92,Valuation,1.6927083333333335
Gross Profit Margin (TTM),0.8109000000000001,0.7206,Profitability,1.1253122398001665
Operating Profit Margin (TTM),0.20199999999999999,0.2172,Profitability,0.9300184162062615
Net Profit Margin (TTM),0.1623,0.1553,Profitability,1.0450740502253704
Annual Dividend Yield,0.0079,0.006999999999999999,Dividend,1.1285714285714288
Dividend Change %,0.1435,0.07940000000000001,Dividend,1.8073047858942062
"Dividend Growth Rate, 3 Years",0.13470000000000001,0.0703,Dividend,1.916073968705548
EPS Growth (MRQ),-1.0315,-0.0752,Gowth rates,13.716755319148938
EPS Growth (TTM),-0.032100000000000004,-0.2824,Gowth rates,0.11366855524079322
Revenue Growth (MRQ),-0.5714,0.15560000000000002,Gowth rates,-3.6722365038560407
Revenue Growth (TTM),0.3211,0.1906,Gowth rates,1.6846799580272824
Return On Equity (TTM),0.15710000000000002,0.2189,Effectiveness,0.7176793056190042
Return On Assets (TTM),0.09550000000000002,0.10740000000000001,Effectiveness,0.8891992551210429
Return On Investment (TTM),0.1118,0.1387,Effectiveness,0.8060562364816151
Revenue Per Employee (TTM),735607.0,667721.0,Effectiveness,1.1016682117231598
Total Debt/Total Capital (MRQ),0.29600000000000004,0.39659999999999995,Financial strength,0.7463439233484621
Change in Debt/Total Capital Quarter over Quarter,0.009000000000000001,0.0004,Financial strength,22.5
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-3.13,0.28,Financial strength,-11.178571428571427
