,INTU
% Above Low,0.1565
% Held by Institutions,0.8487
52-Wk Range,['339.36 - 697.27']
Annual Dividend $,3.12
Annual Dividend %,0.0079
Ask,393.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,391.21
Bid Size,100.0
Closing Price,392.47
Day Change $,-3.38
Day Change %,-0.0085
Day High,395.83
Day Low,391.48
Dividend Pay Date,2022-10-18 00:00:00
"EPS (TTM, GAAP)",7.25
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.47600000000000003
Last (size),19.0
Last (time),1:00p ET 11/25/22
Market Cap,110.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",54.16
Prev Close,395.85
Short Interest,0.0077
Today's Open,394.85
Volume,861769.0
Volume 10-day Avg,1829300.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-29 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.12564102564102564
Growth 1yr High Est,0.16885245901639356
Growth 1yr Consensus Est,0.1472467423287096
Growth 2yr Low Est,0.10610069505285913
Growth 2yr High Est,0.19206998827397515
Growth 2yr Consensus Est,0.14908534166341714
Growth 5yr Low Est,0.15675530207825009
Growth 5yr High Est,0.19815247895513685
Growth 5yr Consensus Est,0.17745389051669347
Growth 5yr Actual/Est,0.19240257309128034
Growth 3yr Historic,0.11395454854198994
Price/Earnings (TTM),54.16084
Price/Sales (TTM),8.66374
Price/Book (MRQ),6.73012
Price/Cash Flow (TTM),39.20867
5yr Low,150.43
5yr High,716.86
5yr Avg Return,0.23103333333333334
EPS Growth 5yr,0.1402582
Revenue Growth 5yr,0.1962021
Dividend Growth 5yr,0.14782679999999998
Short Int Current Month,2106162.0
Short Int Prev Month,2556610.0
Short Int Pct of Float,0.007719500000000001
Days to Cover,0.84415
Float,272.9096
Shares Outstanding,280.9254
Institutions Holding Shares,2084.0
FCF Growth 5yr,8.924103199452647
"Price/Earnings (TTM, GAAP)",54.16
"PEG Ratio (TTM, GAAP)",3.25
Gross Profit Margin (TTM),0.8109000000000001
Operating Profit Margin (TTM),0.20199999999999999
Net Profit Margin (TTM),0.1623
Annual Dividend Yield,0.0079
Dividend Change %,0.1435
"Dividend Growth Rate, 3 Years",0.13470000000000001
EPS Growth (MRQ),-1.0315
EPS Growth (TTM),-0.032100000000000004
Revenue Growth (MRQ),-0.5714
Revenue Growth (TTM),0.3211
Return On Equity (TTM),0.15710000000000002
Return On Assets (TTM),0.09550000000000002
Return On Investment (TTM),0.1118
Revenue Per Employee (TTM),735607.0
Total Debt/Total Capital (MRQ),0.29600000000000004
Change in Debt/Total Capital Quarter over Quarter,0.009000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-3.13
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2015-11-20 00:00:00
researchTeam since,2021-05-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-03-08 00:00:00
ford since,2022-02-25 00:00:00
marketEdge opinion since,
