,SWCH
Price/Earnings (TTM),22.42264
Price/Sales (TTM),12.53826
Price/Book (MRQ),10.88697
Price/Cash Flow (TTM),14.2339
5yr Low,6.39
5yr High,34.24
5yr Avg Return,0.26881666666666665
EPS Growth 5yr,-0.4776883
Revenue Growth 5yr,0.13211209999999998
Dividend Growth 5yr,
Short Int Current Month,16692834.0
Short Int Prev Month,16922236.0
Short Int Pct of Float,0.11627169999999999
Days to Cover,5.97606
Float,143.6776
Shares Outstanding,245.0645
Institutions Holding Shares,390.0
% Held by Institutions,0.8049240000000001
FCF Growth 5yr,0.20427133339043843
