,SWCH
% Below High,0.0007000000000000001
% Held by Institutions,0.8049
52-Wk Range,['23.03 - 34.24']
Annual Dividend $,0.21
Annual Dividend %,0.0060999999999999995
Ask,34.22
Ask Size,12700.0
B/A Ratio,0.5984251968503937
B/A Size,7600x12700
Beta,0.6
Bid,34.21
Bid Size,7600.0
Day Change $,0.005
Day Change %,0.0001
Day High,34.24
Day Low,34.2
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",1.53
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.23800000000000002
Last (size),123.0
Last (time),3:42p ET 11/28/22
Market Cap,5.4B
"P/E Ratio (TTM, GAAP)",22.42
Prev Close,34.21
Price,34.22
Short Interest,0.11630000000000001
Today's Open,34.21
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.25
Growth 1yr High Est,0.4285714285714286
Growth 1yr Consensus Est,0.3392857142857143
Growth 2yr Low Est,15.325
Growth 2yr High Est,3.7142857142857144
Growth 2yr Consensus Est,9.519642857142857
Growth 5yr Low Est,11.216666666666667
Growth 5yr High Est,2.567099567099567
Growth 5yr Consensus Est,6.891883116883117
Growth 5yr Actual/Est,3.617364117364117
Growth 3yr Historic,0.1649831649831651
Price/Earnings (TTM),22.42264
Price/Sales (TTM),12.53826
Price/Book (MRQ),10.88697
Price/Cash Flow (TTM),14.2339
5yr Low,6.39
5yr High,34.24
5yr Avg Return,0.26881666666666665
EPS Growth 5yr,-0.4776883
Revenue Growth 5yr,0.13211209999999998
Dividend Growth 5yr,
Short Int Current Month,16692834.0
Short Int Prev Month,16922236.0
Short Int Pct of Float,0.11627169999999999
Days to Cover,5.97606
Float,143.6776
Shares Outstanding,245.0645
Institutions Holding Shares,390.0
FCF Growth 5yr,0.20427133339043843
"Price/Earnings (TTM, GAAP)",22.42
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3779
Operating Profit Margin (TTM),0.0675
Net Profit Margin (TTM),0.5773
Annual Dividend Yield,0.0061
Dividend Change %,0.2909
"Dividend Growth Rate, 3 Years",0.5163
EPS Growth (MRQ),-1.0011
EPS Growth (TTM),7.8553999999999995
Revenue Growth (MRQ),0.0374
Revenue Growth (TTM),0.1974
Return On Equity (TTM),0.7026000000000001
Return On Assets (TTM),0.1268
Return On Investment (TTM),0.15130000000000002
Revenue Per Employee (TTM),806569.0
Total Debt/Total Capital (MRQ),0.6537999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.26
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-10-15 00:00:00
theStreet since,2022-02-28 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
