,JYNT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",870.91,29.13,Valuation,29.897356676965327
Price/Sales (TTM),2.25,1.32,Valuation,1.7045454545454544
Price/Book (MRQ),6.88,4.31,Valuation,1.5962877030162415
"PEG Ratio (TTM, GAAP)",34.84,0.26,Valuation,134.0
Gross Profit Margin (TTM),0.8998,0.1318,Profitability,6.827010622154781
Operating Profit Margin (TTM),0.0084,0.0458,Profitability,0.1834061135371179
Net Profit Margin (TTM),0.0028000000000000004,0.0242,Profitability,0.11570247933884299
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.4257,-0.1478,Gowth rates,-2.880243572395129
EPS Growth (TTM),-0.9855,-1.101,Gowth rates,0.8950953678474115
Revenue Growth (MRQ),0.0617,0.0931,Gowth rates,0.6627282491944145
Revenue Growth (TTM),0.26920000000000005,0.1191,Gowth rates,2.260285474391268
Return On Equity (TTM),0.0089,7.2022,Effectiveness,0.001235733525867096
Return On Assets (TTM),0.0032,0.0403,Effectiveness,0.0794044665012407
Return On Investment (TTM),0.0043,0.016,Effectiveness,0.26875
Revenue Per Employee (TTM),304431.0,1375304.0,Effectiveness,0.22135542396444713
Total Debt/Total Capital (MRQ),0.06230000000000001,0.4855,Financial strength,0.1283213182286303
Change in Debt/Total Capital Quarter over Quarter,-0.0011,0.0015,Financial strength,-0.7333333333333334
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),795.66,9.55,Financial strength,83.31518324607329
