,JYNT
% Above Low,0.16030000000000003
% Held by Institutions,0.8743000000000001
52-Wk Range,['12.85 - 83.76']
Annual Dividend $,
Annual Dividend %,
Ask,16.0
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,1.2
Bid,14.3
Bid Size,200.0
Closing Price,14.91
Day Change $,-0.39
Day Change %,-0.0255
Day High,15.39
Day Low,14.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.02
Ex-dividend Date,No dividend
Historical Volatility,0.8340000000000001
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,216.6M
"P/E Ratio (TTM, GAAP)",870.91
Prev Close,15.3
Short Interest,0.08220000000000001
Today's Open,15.2
Volume,57703.0
Volume 10-day Avg,97394.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.55
Growth 1yr High Est,-0.31818181818181823
Growth 1yr Consensus Est,-0.43409090909090914
Growth 2yr Low Est,-0.16388888888888886
Growth 2yr High Est,0.30757575757575756
Growth 2yr Consensus Est,0.07184343434343435
Growth 5yr Low Est,-0.08194444444444443
Growth 5yr High Est,0.15378787878787878
Growth 5yr Consensus Est,0.035921717171717174
Growth 5yr Actual/Est,0.5699275362318841
Growth 3yr Historic,0.6115942028985507
Price/Earnings (TTM),870.9112
Price/Sales (TTM),2.25195
Price/Book (MRQ),6.87728
Price/Cash Flow (TTM),29.17559
5yr Low,4.67
5yr High,111.06
5yr Avg Return,0.4750833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.3155141
Dividend Growth 5yr,
Short Int Current Month,1152469.0
Short Int Prev Month,1193810.0
Short Int Pct of Float,0.08220100000000001
Days to Cover,7.86604
Float,14.02014
Shares Outstanding,14.52968
Institutions Holding Shares,188.0
FCF Growth 5yr,-0.6275188886286603
"Price/Earnings (TTM, GAAP)",870.91
"PEG Ratio (TTM, GAAP)",34.84
Gross Profit Margin (TTM),0.8998
Operating Profit Margin (TTM),0.0084
Net Profit Margin (TTM),0.0028000000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4257
EPS Growth (TTM),-0.9855
Revenue Growth (MRQ),0.0617
Revenue Growth (TTM),0.26920000000000005
Return On Equity (TTM),0.0089
Return On Assets (TTM),0.0032
Return On Investment (TTM),0.0043
Revenue Per Employee (TTM),304431.0
Total Debt/Total Capital (MRQ),0.06230000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),795.66
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2021-10-05 00:00:00
researchTeam since,2021-05-07 00:00:00
ford since,2021-05-07 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
