,SNOW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),28.28,19.35,Valuation,1.4614987080103359
Price/Book (MRQ),8.53,19.03,Valuation,0.44823962165002623
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.6482,0.44520000000000004,Profitability,1.4559748427672954
Operating Profit Margin (TTM),-0.4471,0.3027,Profitability,-1.4770399735711925
Net Profit Margin (TTM),-0.41250000000000003,0.23600000000000002,Profitability,-1.7478813559322035
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-0.327,-3.5569,Gowth rates,0.09193398746099131
EPS Growth (TTM),0.1634,0.15560000000000002,Gowth rates,1.05012853470437
Revenue Growth (MRQ),0.1773,0.16460000000000002,Gowth rates,1.077156743620899
Revenue Growth (TTM),0.9241,0.2273,Gowth rates,4.06555213374395
Return On Equity (TTM),-0.13,0.5459,Effectiveness,-0.23813885326982961
Return On Assets (TTM),-0.1032,0.1131,Effectiveness,-0.9124668435013262
Return On Investment (TTM),-0.12490000000000001,0.18910000000000002,Effectiveness,-0.6604970914859862
Revenue Per Employee (TTM),410279.0,686074.0,Effectiveness,0.5980098356737028
Total Debt/Total Capital (MRQ),0.0,0.5613,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0048,Financial strength,
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),,27.21,Financial strength,
