,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,429.0,405.0,344.0,,,,,
low,208.55,184.71,110.27,,,,,
change,0.1486,0.1869,-0.584,,,,,
Date,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash & Equivalents,,,,935.0,1086.0,1063.0,907.0,Balance Sheet
Short Term Investments,,,,2956.0,2766.0,2752.0,3046.0,Balance Sheet
Cash and Short Term Invs,,,,3891.0,3852.0,3815.0,3953.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,255.0,547.0,278.0,306.0,Balance Sheet
Prov. for Doubtful Accts,,,,-1.0,-1.0,-1.0,-2.0,Balance Sheet
"Total Receivables, Net",,,,254.0,546.0,278.0,305.0,Balance Sheet
Prepaid Expenses,,,,120.0,133.0,195.0,188.0,Balance Sheet
Restricted Cash - Current,,,,,17.0,,,Balance Sheet
Other Current Assets,,,,43.0,51.0,54.0,58.0,Balance Sheet
"Other Curr. Assets, Total",,,,43.0,68.0,54.0,58.0,Balance Sheet
Total Current Assets,,,,4308.0,4599.0,4342.0,4504.0,Balance Sheet
Buildings,,,,52.0,52.0,53.0,54.0,Balance Sheet
Machinery/Equipment,,,,23.0,26.0,44.0,53.0,Balance Sheet
Construction in Progress,,,,32.0,42.0,39.0,44.0,Balance Sheet
Other Prop./Plant/Equip.,,,,192.0,199.0,200.0,234.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,298.0,319.0,335.0,385.0,Balance Sheet
Accumulated Depreciation,,,,-20.0,-23.0,-27.0,-33.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,278.0,295.0,308.0,352.0,Balance Sheet
"Goodwill, Net",,,,8.0,8.0,503.0,503.0,Balance Sheet
Intangibles - Gross,,,,35.0,49.0,199.0,199.0,Balance Sheet
Accum. Intangible Amort.,,,,-9.0,-11.0,-17.0,-27.0,Balance Sheet
Intangibles - Net,,,,26.0,37.0,182.0,172.0,Balance Sheet
Long Term Investments,,,,1212.0,1256.0,1212.0,1087.0,Balance Sheet
Other Long Term Assets,,,,229.0,329.0,352.0,317.0,Balance Sheet
Total Assets,,,,6163.0,6650.0,7023.0,7064.0,Balance Sheet
Accounts Payable,,,,11.0,13.0,18.0,20.0,Balance Sheet
Payable/Accrued,,,,17.0,18.0,24.0,29.0,Balance Sheet
Accrued Expenses,,,,137.0,160.0,160.0,176.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,760.0,1158.0,1133.0,1145.0,Balance Sheet
Income Taxes Payable,,,,7.0,13.0,7.0,11.0,Balance Sheet
Other Current Liabilities,,,,28.0,36.0,22.0,21.0,Balance Sheet
"Other Curr. Lblts, Total",,,,795.0,1207.0,1162.0,1176.0,Balance Sheet
Total Current Liabilities,,,,959.0,1397.0,1364.0,1401.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,198.0,204.0,201.0,236.0,Balance Sheet
Total Liabilities,,,,1157.0,1601.0,1565.0,1638.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,6797.0,6985.0,7590.0,7782.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-1787.0,-1919.0,-2085.0,-2308.0,Balance Sheet
"Other Equity, Total",,,,-3.0,-16.0,-47.0,-48.0,Balance Sheet
Total Equity,,,,5007.0,5049.0,5458.0,5426.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,6163.0,6650.0,7023.0,7064.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,306.0,312.0,318.0,320.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,306.0,312.0,318.0,320.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement
Total Revenue,,,,334441.0,383774.0,422371.0,497248.0,Income Statement
"Cost of Revenue, Total",,,,120786.0,134180.0,147930.0,173232.0,Income Statement
Selling/Gen/Admin Expense,,,,187944.0,211806.0,236144.0,261786.0,Income Statement
Labor & Related Expense,,,,67082.0,66668.0,76265.0,86214.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,255026.0,278474.0,312409.0,348000.0,Income Statement
Research & Development,,,,115900.0,123149.0,150798.0,183748.0,Income Statement
Unusual Expense (Income),,,,,,,26555.0,Income Statement
Total Operating Expense,,,,491712.0,535803.0,611137.0,731535.0,Income Statement
Total Operating Income,,,,-157271.0,-152029.0,-188766.0,-234287.0,Income Statement
"Inter Income, Non-Operating",,,,1985.0,2342.0,4759.0,11692.0,Income Statement
"Invest Income, Non-Operat",,,,455.0,19106.0,-8859.0,3382.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,2440.0,21448.0,-4100.0,15074.0,Income Statement
OtherNon-OperatInc (Expnse),,,,1154.0,-26.0,378.0,253.0,Income Statement
"Other, Net",,,,1154.0,-26.0,378.0,253.0,Income Statement
Income Before Tax,,,,-153677.0,-130607.0,-192488.0,-218960.0,Income Statement
Income Tax - Total,,,,1179.0,1546.0,-26694.0,3846.0,Income Statement
Income After Tax,,,,-154856.0,-132153.0,-165794.0,-222806.0,Income Statement
Net Inc Before Extra Items,,,,-154856.0,-132153.0,-165794.0,-222806.0,Income Statement
Total Net Income,,,,-154856.0,-132153.0,-165794.0,-222806.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-154856.0,-132153.0,-165794.0,-222806.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-154856.0,-132153.0,-165794.0,-222806.0,Income Statement
Basic/Primary Weighted Average Shares,,,,303007.0,308786.0,314361.0,318356.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.51,-0.43,-0.53,-0.7,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.51,-0.43,-0.53,-0.7,Income Statement
Diluted Weighted Average Shares,,,,303007.0,308786.0,314361.0,318356.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.51,-0.43,-0.53,-0.7,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.51,-0.43,-0.53,-0.7,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,3618.0,3814.0,4641.0,5900.0,Income Statement
Total Special Items,,,,,,,26555.0,Income Statement
Normalzd Income Before Tax,,,,-153677.0,-130607.0,-192488.0,-192405.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,9294.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,1179.0,1546.0,-26694.0,13140.0,Income Statement
Normalized Income After Tax,,,,-154856.0,-132153.0,-165794.0,-205545.0,Income Statement
Normalzd Inc Avail to Common,,,,-154856.0,-132153.0,-165794.0,-205545.0,Income Statement
Basic Normalized EPS,,,,-0.51,-0.43,-0.53,-0.65,Income Statement
Diluted Normalized EPS,,,,-0.51,-0.43,-0.53,-0.65,Income Statement
Date,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Cash Flow
Net Income,,,,-548.0,-680.0,-166.0,-389.0,Cash Flow
Depreciation/Depletion,,,,16.0,21.0,10.0,26.0,Cash Flow
Deferred Taxes,,,,,,-27.0,-27.0,Cash Flow
Unusual Items,,,,-9.0,-28.0,9.0,32.0,Cash Flow
Other Non-Cash Items,,,,552.0,728.0,206.0,445.0,Cash Flow
Non-Cash Items,,,,543.0,700.0,215.0,477.0,Cash Flow
Accounts Receivable,,,,39.0,-252.0,267.0,240.0,Cash Flow
Prepaid Expenses,,,,-113.0,-159.0,-58.0,-28.0,Cash Flow
Other Assets,,,,-53.0,-96.0,-17.0,-40.0,Cash Flow
Accounts Payable,,,,5.0,7.0,4.0,6.0,Cash Flow
Accrued Expenses,,,,18.0,42.0,-23.0,-8.0,Cash Flow
Changes in Working Capital,,,,20.0,68.0,153.0,161.0,Cash Flow
Total Cash from Operations,,,,31.0,110.0,185.0,249.0,Cash Flow
Purchase of Fixed Assets,,,,-12.0,-16.0,-7.0,-11.0,Cash Flow
Purchase/Acq of Intangibles,,,,-20.0,-37.0,-5.0,-12.0,Cash Flow
Capital Expenditures,,,,-32.0,-53.0,-12.0,-24.0,Cash Flow
Acquisition of Business,,,,0.0,0.0,-178.0,-178.0,Cash Flow
Sale/Maturity of Investment,,,,3017.0,4283.0,898.0,1740.0,Cash Flow
Purchase of Investments,,,,-3042.0,-4250.0,-897.0,-1925.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-25.0,33.0,-178.0,-363.0,Cash Flow
Total Cash from Investing,,,,-57.0,-21.0,-190.0,-386.0,Cash Flow
Financing Cash Flow Items,,,,0.0,-1.0,-53.0,-84.0,Cash Flow
Sale/Issuance of Common,,,,52.0,52.0,26.0,26.0,Cash Flow
Repurch/Retirement Common,,,,0.0,0.0,,,Cash Flow
"Common Stock, Net",,,,52.0,52.0,26.0,26.0,Cash Flow
"Preferred Stock, Net",,,,0.0,0.0,,,Cash Flow
Options Exercised,,,,90.0,127.0,15.0,24.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,143.0,179.0,41.0,50.0,Cash Flow
Total Cash From Financing,,,,143.0,178.0,-12.0,-34.0,Cash Flow
Foreign Exchange Effects,,,,0.0,0.0,-5.0,-7.0,Cash Flow
Net Change in Cash,,,,117.0,267.0,-22.0,-179.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,835.0,835.0,1103.0,1103.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,952.0,1103.0,1080.0,924.0,Cash Flow
"Depreciation, Supplemental",,,,16.0,21.0,10.0,26.0,Cash Flow
Free Cash Flow,,,,-1.0,57.0,173.0,225.0,
FCF Growth,,,,,-58.0,2.0350877192982457,0.300578034682081,
