,SNOW
% Above Low,0.28550000000000003
% Held by Institutions,0.6774
52-Wk Range,['110.27 - 378.11']
Annual Dividend $,
Annual Dividend %,
Ask,141.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,141.72
Bid Size,100.0
Day Change $,-2.97
Day Change %,-0.020499999999999997
Day High,146.21
Day Low,141.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.17
Ex-dividend Date,No dividend
Historical Volatility,0.81
Last (size),100.0
Last (time),2:48p ET 11/28/22
Market Cap,45.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,144.72
Price,141.75
Short Interest,0.0397
Today's Open,143.2
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,2.75
Growth 2yr High Est,3.863636363636364
Growth 2yr Consensus Est,3.306818181818182
Growth 5yr Low Est,2.75
Growth 5yr High Est,3.863636363636364
Growth 5yr Consensus Est,3.306818181818182
Growth 5yr Actual/Est,5.227029914529915
Growth 3yr Historic,-0.33547008547008544
Price/Earnings (TTM),
Price/Sales (TTM),28.27539
Price/Book (MRQ),8.53165
Price/Cash Flow (TTM),
5yr Low,110.27
5yr High,429.0
5yr Avg Return,-0.08283333333333333
Short Int Current Month,11399710.0
Short Int Prev Month,11361467.0
Short Int Pct of Float,0.0397246
Days to Cover,1.77389
Float,289.8055
Shares Outstanding,320.0
Institutions Holding Shares,1190.0
FCF Growth 5yr,-18.554778082006557
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6482
Operating Profit Margin (TTM),-0.4471
Net Profit Margin (TTM),-0.41250000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.327
EPS Growth (TTM),0.1634
Revenue Growth (MRQ),0.1773
Revenue Growth (TTM),0.9241
Return On Equity (TTM),-0.13
Return On Assets (TTM),-0.1032
Return On Investment (TTM),-0.12490000000000001
Revenue Per Employee (TTM),410279.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-12-02 00:00:00
theStreet since,2021-12-02 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-10-09 00:00:00
ford since,
marketEdge opinion since,
