,WW
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-3.4692307692307693
Growth 1yr High Est,-0.47445255474452563
Growth 1yr Consensus Est,-1.9718416619876475
Growth 2yr Low Est,-2.2533069734004316
Growth 2yr High Est,-0.2302818329278184
Growth 2yr Consensus Est,-1.241794403164125
Growth 5yr Low Est,-1.1802972866630341
Growth 5yr High Est,-0.17381577985188734
Growth 5yr Consensus Est,-0.6770565332574607
Growth 5yr Actual/Est,-0.9527445390969069
Growth 3yr Historic,-0.061099244166940486
