,WW
% Above Low,0.12869999999999998
% Held by Institutions,0.8176000000000001
52-Wk Range,['3.42 - 19.07']
Annual Dividend $,
Annual Dividend %,
Ask,3.97
Ask Size,1000.0
B/A Ratio,1.5
B/A Size,1500x1000
Beta,1.6
Bid,3.86
Bid Size,1500.0
Closing Price,3.86
Day Change $,-0.29
Day Change %,-0.0699
Day High,4.2
Day Low,3.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.69
Ex-dividend Date,No dividend
Historical Volatility,0.812
Last (size),20.0
Last (time),4:00p ET 11/28/22
Market Cap,272.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.15
Short Interest,0.1045
Today's Open,4.07
Volume,1728543.0
Volume 10-day Avg,1828180.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-3.4692307692307693
Growth 1yr High Est,-0.47445255474452563
Growth 1yr Consensus Est,-1.9718416619876475
Growth 2yr Low Est,-2.2533069734004316
Growth 2yr High Est,-0.2302818329278184
Growth 2yr Consensus Est,-1.241794403164125
Growth 5yr Low Est,-1.1802972866630341
Growth 5yr High Est,-0.17381577985188734
Growth 5yr Consensus Est,-0.6770565332574607
Growth 5yr Actual/Est,-0.9527445390969069
Growth 3yr Historic,-0.061099244166940486
Price/Earnings (TTM),
Price/Sales (TTM),0.26785
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.42
5yr High,105.73
5yr Avg Return,-0.2673
EPS Growth 5yr,-0.016457299999999998
Revenue Growth 5yr,0.0080355
Dividend Growth 5yr,
Short Int Current Month,5466337.0
Short Int Prev Month,6550288.0
Short Int Pct of Float,0.1045141
Days to Cover,3.35769
Float,53.4897
Shares Outstanding,70.52672
Institutions Holding Shares,252.0
FCF Growth 5yr,1.150291501859554
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6079
Operating Profit Margin (TTM),-0.1641
Net Profit Margin (TTM),-0.1729
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-43.515699999999995
EPS Growth (TTM),-4.869800000000001
Revenue Growth (MRQ),-0.0732
Revenue Growth (TTM),-0.1328
Return On Equity (TTM),
Return On Assets (TTM),-0.1476
Return On Investment (TTM),-0.1788
Revenue Per Employee (TTM),141912.0
Total Debt/Total Capital (MRQ),1.8657
Change in Debt/Total Capital Quarter over Quarter,0.003
Quick Ratio (MRQ),1.32
Interest Coverage (MRQ),2.95
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-30 00:00:00
theStreet since,2022-10-30 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
