,REYN
% Below High,0.0166
% Held by Institutions,0.2987
52-Wk Range,['24.54 - 32.29']
Annual Dividend $,0.92
Annual Dividend %,0.0287
Ask,31.77
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,31.73
Bid Size,200.0
Day Change $,-0.305
Day Change %,-0.0095
Day High,31.93
Day Low,31.68
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",1.22
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.257
Last (size),88.0
Last (time),12:33p ET 11/28/22
Market Cap,6.7B
"P/E Ratio (TTM, GAAP)",26.29
Prev Close,32.06
Price,31.76
Short Interest,0.09789999999999999
Today's Open,31.91
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.14379084967320255
Growth 1yr High Est,-0.11875000000000013
Growth 1yr Consensus Est,-0.13127042483660134
Growth 2yr Low Est,-0.010826722546524947
Growth 2yr High Est,0.04346187943262403
Growth 2yr Consensus Est,0.01631757844304954
Growth 5yr Low Est,-0.08034706673169689
Growth 5yr High Est,-0.03499847768464792
Growth 5yr Consensus Est,-0.05767277220817241
Growth 5yr Actual/Est,0.041302750536969024
Growth 3yr Historic,0.04143182215998603
Price/Earnings (TTM),26.29421
Price/Sales (TTM),1.79371
Price/Book (MRQ),3.74449
Price/Cash Flow (TTM),18.1353
5yr Low,21.61
5yr High,36.0
5yr Avg Return,0.044033333333333334
EPS Growth 5yr,0.3169274
Revenue Growth 5yr,0.039132
Dividend Growth 5yr,
Short Int Current Month,5303421.0
Short Int Prev Month,4258932.0
Short Int Pct of Float,0.0978571
Days to Cover,8.65876
Float,54.19559
Shares Outstanding,209.8627
Institutions Holding Shares,237.0
FCF Growth 5yr,-2.4473811089195707
"Price/Earnings (TTM, GAAP)",26.29
"PEG Ratio (TTM, GAAP)",15.5
Gross Profit Margin (TTM),0.2023
Operating Profit Margin (TTM),0.10640000000000001
Net Profit Margin (TTM),0.06820000000000001
Annual Dividend Yield,0.028700000000000003
Dividend Change %,0.122
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.07690000000000001
EPS Growth (TTM),-0.23850000000000002
Revenue Growth (MRQ),0.0545
Revenue Growth (TTM),0.0958
Return On Equity (TTM),0.1466
Return On Assets (TTM),0.053099999999999994
Return On Investment (TTM),0.0593
Revenue Per Employee (TTM),669821.0
Total Debt/Total Capital (MRQ),0.5383
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),0.7
Interest Coverage (MRQ),4.3
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
theStreet since,2022-03-08 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-08-06 00:00:00
cfra since,
marketEdge opinion since,
