,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,36.0,32.19,32.29,,,,,
low,21.61,26.5,24.54,,,,,
change,0.09240000000000001,0.025099999999999997,0.0146,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,164.0,101.0,101.0,33.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,260.0,290.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-1.0,-1.0,Balance Sheet
"Trade Accts Recvble, Net",,,,316.0,322.0,259.0,289.0,Balance Sheet
Other Receivables,,,,22.0,20.0,16.0,22.0,Balance Sheet
"Total Receivables, Net",,,,338.0,342.0,275.0,311.0,Balance Sheet
Invent. - Finished Goods,,,,276.0,339.0,377.0,,Balance Sheet
Invent. - Work In Progress,,,,63.0,72.0,84.0,,Balance Sheet
Invent. - Raw Materials,,,,206.0,198.0,233.0,,Balance Sheet
Inventories - Other,,,,38.0,39.0,40.0,,Balance Sheet
Total Inventory,,,,583.0,648.0,734.0,796.0,Balance Sheet
"Other Curr. Assets, Total",,,,19.0,18.0,38.0,41.0,Balance Sheet
Total Current Assets,,,,1104.0,1109.0,1148.0,1181.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,1429.0,1446.0,1475.0,1501.0,Balance Sheet
Accumulated Depreciation,,,,-752.0,-770.0,-791.0,-808.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,732.0,729.0,747.0,756.0,Balance Sheet
"Goodwill, Net",,,,1879.0,1879.0,1879.0,1879.0,Balance Sheet
Intangibles - Net,,,,1061.0,1054.0,1046.0,1038.0,Balance Sheet
Other Long Term Assets,,,,36.0,39.0,39.0,58.0,Balance Sheet
Total Assets,,,,4812.0,4810.0,4859.0,4912.0,Balance Sheet
Accounts Payable,,,,261.0,258.0,277.0,295.0,Balance Sheet
Accrued Expenses,,,,160.0,140.0,171.0,184.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,,Balance Sheet
