,REYN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.29,26.47,Valuation,0.9931998488855308
Price/Sales (TTM),1.79,3.88,Valuation,0.46134020618556704
Price/Book (MRQ),3.74,30.23,Valuation,0.12371816076744956
"PEG Ratio (TTM, GAAP)",15.5,10.48,Valuation,1.4790076335877862
Gross Profit Margin (TTM),0.2023,0.4571,Profitability,0.442572741194487
Operating Profit Margin (TTM),0.10640000000000001,0.1941,Profitability,0.5481710458526533
Net Profit Margin (TTM),0.06820000000000001,0.15480000000000002,Profitability,0.4405684754521964
Annual Dividend Yield,0.028700000000000003,0.0255,Dividend,1.1254901960784316
Dividend Change %,0.122,0.0727,Dividend,1.6781292984869325
"Dividend Growth Rate, 3 Years",,0.05740000000000001,Dividend,
EPS Growth (MRQ),-0.07690000000000001,-0.05480000000000001,Gowth rates,1.4032846715328466
EPS Growth (TTM),-0.23850000000000002,-0.0253,Gowth rates,9.426877470355732
Revenue Growth (MRQ),0.0545,0.022000000000000002,Gowth rates,2.477272727272727
Revenue Growth (TTM),0.0958,0.0414,Gowth rates,2.314009661835749
Return On Equity (TTM),0.1466,1.0171,Effectiveness,0.14413528659915448
Return On Assets (TTM),0.053099999999999994,0.1167,Effectiveness,0.45501285347043696
Return On Investment (TTM),0.0593,0.171,Effectiveness,0.34678362573099414
Revenue Per Employee (TTM),669821.0,708841.0,Effectiveness,0.9449523941194147
Total Debt/Total Capital (MRQ),0.5383,0.5498,Financial strength,0.9790833030192798
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.0005,Financial strength,-1.0
Quick Ratio (MRQ),0.7,0.49,Financial strength,1.4285714285714286
Interest Coverage (MRQ),4.3,46.23,Financial strength,0.09301319489508977
