,NDSN
% Below High,0.1317
% Held by Institutions,0.7191
52-Wk Range,['194.89 - 271.90']
Annual Dividend $,2.6
Annual Dividend %,0.011000000000000001
Ask,248.13
Ask Size,100.0
Ask close,251.68
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,220.44
Bid Size,100.0
Bid close,219.36
Change Since Close,-7.06| |(-2.99%)
Closing Price,236.08
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-09-06 00:00:00
"EPS (TTM, GAAP)",8.25
Ex-dividend,2022-08-22 00:00:00
Ex-dividend Date,08/22/22
Historical Volatility,0.28
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,229.02
Market Cap,13.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.62
Prev Close,236.08
Short Interest,0.0175
Today's Open,
Volume,1.0
Volume 10-day Avg,234940.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-14 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.1708860759493671
Growth 1yr High Est,0.1712499999999999
Growth 1yr Consensus Est,0.1710680379746835
Growth 2yr Low Est,0.09895655148819704
Growth 2yr High Est,0.15499533084311634
Growth 2yr Consensus Est,0.1269759411656567
Growth 5yr Low Est,0.14847519921544838
Growth 5yr High Est,0.17054639037602082
Growth 5yr Consensus Est,0.1595107947957346
Growth 5yr Actual/Est,0.1517426389601388
Growth 3yr Historic,0.08649230903144778
Price/Earnings (TTM),28.61555
Price/Sales (TTM),5.38971
Price/Book (MRQ),6.14189
Price/Cash Flow (TTM),23.15871
5yr Low,96.46
5yr High,272.28
5yr Avg Return,0.12813333333333332
EPS Growth 5yr,0.1036182
Revenue Growth 5yr,0.0548149
Dividend Growth 5yr,0.1115649
Short Int Current Month,895077.0
Short Int Prev Month,963433.0
Short Int Pct of Float,0.0175489
Days to Cover,3.51545
Float,51.0546
Shares Outstanding,57.2107
Institutions Holding Shares,751.0
FCF Growth 5yr,0.19510825794243447
"Price/Earnings (TTM, GAAP)",28.62
"PEG Ratio (TTM, GAAP)",2.2
Gross Profit Margin (TTM),0.5565
Operating Profit Margin (TTM),0.2698
Net Profit Margin (TTM),0.1925
Annual Dividend Yield,0.011000000000000001
Dividend Change %,0.098
"Dividend Growth Rate, 3 Years",0.1036
EPS Growth (MRQ),0.3027
EPS Growth (TTM),0.33659999999999995
Revenue Growth (MRQ),0.0421
Revenue Growth (TTM),0.0795
Return On Equity (TTM),0.2263
Return On Assets (TTM),0.12869999999999998
Return On Investment (TTM),0.1544
Revenue Per Employee (TTM),367818.0
Total Debt/Total Capital (MRQ),0.2721
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.87
Interest Coverage (MRQ),35.8
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-04-01 00:00:00
theStreet since,2021-02-23 00:00:00
ford since,2022-04-01 00:00:00
cfra since,
marketEdge opinion since,
