,RLMD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.92,Valuation,
Price/Sales (TTM),,18.11,Valuation,
Price/Book (MRQ),0.9,11.51,Valuation,0.07819287576020852
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),,0.6773,Profitability,
Operating Profit Margin (TTM),,-0.8239000000000001,Profitability,
Net Profit Margin (TTM),,-0.8640000000000001,Profitability,
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),0.0171,0.0883,Gowth rates,0.19365798414496035
EPS Growth (TTM),0.1159,0.5870000000000001,Gowth rates,0.19744463373083473
Revenue Growth (MRQ),,0.0441,Gowth rates,
Revenue Growth (TTM),,0.1761,Gowth rates,
Return On Equity (TTM),-1.2842,0.30160000000000003,Effectiveness,-4.257957559681697
Return On Assets (TTM),-1.1039,0.092,Effectiveness,-11.998913043478263
Return On Investment (TTM),-1.2842,0.13820000000000002,Effectiveness,-9.292329956584659
Revenue Per Employee (TTM),0.0,1425813.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),-56.84,26.08,Financial strength,-2.1794478527607364
