,RLMD
% Above Low,0.0
% Held by Institutions,0.968
52-Wk Range,['5.05 - 38.68']
Annual Dividend $,
Annual Dividend %,
Ask,5.09
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,0.0
Bid,5.07
Bid Size,400.0
Day Change $,-0.2
Day Change %,-0.0381
Day High,5.4
Day Low,5.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.85
Ex-dividend Date,No dividend
Historical Volatility,1.722
Last (size),200.0
Last (time),12:54p ET 11/28/22
Market Cap,153.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.25
Price,5.05
Short Interest,0.1015
Today's Open,5.25
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.31829573934837097
Growth 1yr High Est,-0.16082802547770714
Growth 1yr Consensus Est,-0.23956188241303905
Growth 2yr Low Est,-0.19591257555653846
Growth 2yr High Est,-0.35840262753961255
Growth 2yr Consensus Est,-0.2771576015480755
Growth 5yr Low Est,-0.19591257555653846
Growth 5yr High Est,-0.35840262753961255
Growth 5yr Consensus Est,-0.2771576015480755
Growth 5yr Actual/Est,0.110437836331911
Growth 3yr Historic,0.29308836395450566
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),0.90397
Price/Cash Flow (TTM),
5yr Low,2.44
5yr High,54.0
5yr Avg Return,1.1138500000000002
Short Int Current Month,2772421.0
Short Int Prev Month,2888562.0
Short Int Pct of Float,0.1014729
Days to Cover,3.74784
Float,29.70526
Shares Outstanding,30.0992
Institutions Holding Shares,185.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0171
EPS Growth (TTM),0.1159
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-1.2842
Return On Assets (TTM),-1.1039
Return On Investment (TTM),-1.2842
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-56.84
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-05-06 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
