,RGNX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.4,471.78,Valuation,0.05171902157785409
Price/Sales (TTM),2.04,45.03,Valuation,0.04530313124583611
Price/Book (MRQ),1.74,12.61,Valuation,0.1379857256145916
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.865,0.5874,Profitability,1.4725910793326522
Operating Profit Margin (TTM),0.226,-4.7459,Profitability,-0.047620050991382036
Net Profit Margin (TTM),0.1534,-4.5467,Profitability,-0.033738755580970815
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.1036,-0.0014000000000000002,Gowth rates,73.99999999999999
EPS Growth (TTM),1.1796,0.027200000000000002,Gowth rates,43.36764705882353
Revenue Growth (MRQ),-0.188,1.3963999999999999,Gowth rates,-0.13463191062732743
Revenue Growth (TTM),4.154100000000001,0.9747,Gowth rates,4.26192674669129
Return On Equity (TTM),0.1436,0.1967,Effectiveness,0.7300457549567869
Return On Assets (TTM),0.0874,0.0016,Effectiveness,54.625
Return On Investment (TTM),0.10130000000000002,0.0219,Effectiveness,4.625570776255708
Revenue Per Employee (TTM),1290414.0,1476201.0,Effectiveness,0.8741451875455984
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-16.0,2.69,Financial strength,-5.947955390334573
