,JMIA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,,Valuation,
Price/Sales (TTM),1.88,,Valuation,
Price/Book (MRQ),1.79,,Valuation,
"PEG Ratio (TTM, GAAP)",,,Valuation,
Gross Profit Margin (TTM),0.5737,,Profitability,
Operating Profit Margin (TTM),-1.2046,,Profitability,
Net Profit Margin (TTM),-1.2287000000000001,,Profitability,
EPS Growth (MRQ),0.3539,,Gowth rates,
EPS Growth (TTM),-0.1531,,Gowth rates,
Revenue Growth (MRQ),-0.1193,,Gowth rates,
Revenue Growth (TTM),0.31629999999999997,,Gowth rates,
Return On Equity (TTM),-0.7468000000000001,,Effectiveness,
Return On Assets (TTM),-0.5287,,Effectiveness,
Return On Investment (TTM),-0.7244,,Effectiveness,
Revenue Per Employee (TTM),48495.0,,Effectiveness,
Total Debt/Total Capital (MRQ),0.0593,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0108,,Financial strength,
Quick Ratio (MRQ),2.53,,Financial strength,
Interest Coverage (MRQ),-70.98,,Financial strength,
