,JMIA
% Above Low,0.1233
% Held by Institutions,0.19829999999999998
52-Wk Range,['3.65 - 14.95']
Annual Dividend $,
Annual Dividend %,
Ask,4.12
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.4
Bid,4.03
Bid Size,200.0
Closing Price,4.1
Day Change $,-0.07
Day Change %,-0.0168
Day High,4.17
Day Low,4.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.6
Ex-dividend Date,No dividend
Historical Volatility,0.998
Last (size),7.0
Last (time),5:00p ET 11/25/22
Market Cap,408.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.17
Short Interest,0.0859
Today's Open,4.1
Volume,1001182.0
Volume 10-day Avg,2967990.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.1921568627450979
Growth 2yr High Est,-0.2199170124481329
Growth 2yr Consensus Est,-0.2060369375966154
Growth 5yr Low Est,-0.1921568627450979
Growth 5yr High Est,-0.2199170124481329
Growth 5yr Consensus Est,-0.2060369375966154
Growth 5yr Actual/Est,0.14351487314085742
Growth 3yr Historic,-0.0436111111111111
Price/Earnings (TTM),
Price/Sales (TTM),1.88315
Price/Book (MRQ),1.79425
Price/Cash Flow (TTM),
5yr Low,2.15
5yr High,69.89
5yr Avg Return,0.703725
Short Int Current Month,8578995.0
Short Int Prev Month,8386813.0
Short Int Pct of Float,0.08589549999999999
Days to Cover,2.57662
Float,6.75
Shares Outstanding,49.93853
Institutions Holding Shares,148.0
FCF Growth 5yr,0.2148772844186004
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5737
Operating Profit Margin (TTM),-1.2046
Net Profit Margin (TTM),-1.2287000000000001
EPS Growth (MRQ),0.3539
EPS Growth (TTM),-0.1531
Revenue Growth (MRQ),-0.1193
Revenue Growth (TTM),0.31629999999999997
Return On Equity (TTM),-0.7468000000000001
Return On Assets (TTM),-0.5287
Return On Investment (TTM),-0.7244
Revenue Per Employee (TTM),48495.0
Total Debt/Total Capital (MRQ),0.0593
Change in Debt/Total Capital Quarter over Quarter,0.0108
Quick Ratio (MRQ),2.53
Interest Coverage (MRQ),-70.98
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2020-05-28 00:00:00
newConstructs since,
cfra since,
ford since,
researchTeam since,
marketEdge opinion since,
