,JACK
% Above Low,0.32299999999999995
% Held by Institutions,1.0331000000000001
52-Wk Range,['54.80 - 96.87']
Annual Dividend $,1.76
Annual Dividend %,0.024300000000000002
Ask,73.97
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,70.11
Bid Size,100.0
Closing Price,72.5
Day Change $,0.55
Day Change %,0.0076
Day High,73.11
Day Low,71.34
Dividend Pay Date,2022-12-22 00:00:00
"EPS (TTM, GAAP)",5.45
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.456
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",13.29
Prev Close,71.95
Short Interest,0.0757
Today's Open,71.88
Volume,374372.0
Volume 10-day Avg,503922.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.07894736842105265
Growth 1yr High Est,0.12335526315789469
Growth 1yr Consensus Est,0.022203947368421018
Growth 2yr Low Est,0.005288220551378453
Growth 2yr High Est,0.0675341469523002
Growth 2yr Consensus Est,0.03641118375183933
Growth 5yr Low Est,-0.058379281537176274
Growth 5yr High Est,-0.012197943811999679
Growth 5yr Consensus Est,-0.03528861267458797
Growth 5yr Actual/Est,0.1114387957426548
Growth 3yr Historic,0.08961894507006443
Price/Earnings (TTM),13.29207
Price/Sales (TTM),1.02631
Price/Book (MRQ),
Price/Cash Flow (TTM),8.76599
5yr Low,16.81
5yr High,124.53
5yr Avg Return,-0.04615
EPS Growth 5yr,0.05554630000000001
Revenue Growth 5yr,0.0599509
Dividend Growth 5yr,0.0192449
Short Int Current Month,1550101.0
Short Int Prev Month,1389421.0
Short Int Pct of Float,0.0756531
Days to Cover,5.58189
Float,20.49445
Shares Outstanding,20.78217
Institutions Holding Shares,292.0
FCF Growth 5yr,0.6802634245187437
"Price/Earnings (TTM, GAAP)",13.29
"PEG Ratio (TTM, GAAP)",3.12
Gross Profit Margin (TTM),0.5345000000000001
Operating Profit Margin (TTM),0.1691
Net Profit Margin (TTM),0.0789
Annual Dividend Yield,0.024300000000000002
Dividend Change %,0.047599999999999996
"Dividend Growth Rate, 3 Years",0.0323
EPS Growth (MRQ),1.0131000000000001
EPS Growth (TTM),-0.2608
Revenue Growth (MRQ),0.011200000000000002
Revenue Growth (TTM),0.2837
Return On Equity (TTM),
Return On Assets (TTM),0.0496
Return On Investment (TTM),0.060599999999999994
Revenue Per Employee (TTM),121500.0
Total Debt/Total Capital (MRQ),1.6732
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),0.53
Interest Coverage (MRQ),3.13
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-05-28 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-27 00:00:00
cfra since,
marketEdge opinion since,
