,BWA
% Below High,0.1567
% Held by Institutions,0.9381
52-Wk Range,['31.14 - 50.09']
Annual Dividend $,0.68
Annual Dividend %,0.0161
Ask,45.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.4
Bid,37.0
Bid Size,100.0
Closing Price,42.24
Day Change $,0.23
Day Change %,0.0055000000000000005
Day High,42.28
Day Low,41.83
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.44
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.387
Last (size),7.0
Last (time),5:00p ET 11/25/22
Market Cap,9.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.28
Prev Close,42.01
Short Interest,0.024700000000000003
Today's Open,42.08
Volume,770660.0
Volume 10-day Avg,2009718.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.11842105263157898
Growth 1yr High Est,0.11707317073170742
Growth 1yr Consensus Est,0.1177471116816432
Growth 2yr Low Est,0.08509287925696596
Growth 2yr High Est,0.2299339652785175
Growth 2yr Consensus Est,0.15751342226774173
Growth 5yr Low Est,0.04254643962848298
Growth 5yr High Est,0.11496698263925875
Growth 5yr Consensus Est,0.07875671113387087
Growth 5yr Actual/Est,0.0898939830186857
Growth 3yr Historic,0.042976015019124875
Price/Earnings (TTM),12.27764
Price/Sales (TTM),0.64443
Price/Book (MRQ),1.45988
Price/Cash Flow (TTM),6.06417
5yr Low,17.0
5yr High,58.22
5yr Avg Return,-0.021266666666666673
EPS Growth 5yr,-0.04093
Revenue Growth 5yr,0.1034281
Dividend Growth 5yr,0.0511062
Short Int Current Month,5758979.0
Short Int Prev Month,5787569.0
Short Int Pct of Float,0.0247381
Days to Cover,2.47427
Float,232.9144
Shares Outstanding,234.1539
Institutions Holding Shares,864.0
FCF Growth 5yr,54.96266509070353
"Price/Earnings (TTM, GAAP)",12.28
"PEG Ratio (TTM, GAAP)",0.62
Gross Profit Margin (TTM),0.18850000000000003
Operating Profit Margin (TTM),0.0776
Net Profit Margin (TTM),0.0587
Annual Dividend Yield,0.0161
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.2768
EPS Growth (TTM),0.068
Revenue Growth (MRQ),0.0801
Revenue Growth (TTM),0.0158
Return On Equity (TTM),0.1219
Return On Assets (TTM),0.0553
Return On Investment (TTM),0.0736
Revenue Per Employee (TTM),311319.0
Total Debt/Total Capital (MRQ),0.37020000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),1.28
Interest Coverage (MRQ),414.0
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-16 00:00:00
cfra since,2021-08-04 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-16 00:00:00
