,BWA
Price/Earnings (TTM),12.27764
Price/Sales (TTM),0.64443
Price/Book (MRQ),1.45988
Price/Cash Flow (TTM),6.06417
5yr Low,17.0
5yr High,58.22
5yr Avg Return,-0.021266666666666673
EPS Growth 5yr,-0.04093
Revenue Growth 5yr,0.1034281
Dividend Growth 5yr,0.0511062
Short Int Current Month,5758979.0
Short Int Prev Month,5787569.0
Short Int Pct of Float,0.0247381
Days to Cover,2.47427
Float,232.9144
Shares Outstanding,234.1539
Institutions Holding Shares,864.0
% Held by Institutions,0.938099
FCF Growth 5yr,54.96266509070353
