,BWA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.28,35.21,Valuation,0.3487645555239988
Price/Sales (TTM),0.64,3.92,Valuation,0.163265306122449
Price/Book (MRQ),1.46,4.78,Valuation,0.305439330543933
"PEG Ratio (TTM, GAAP)",0.62,11.27,Valuation,0.055013309671694766
Gross Profit Margin (TTM),0.18850000000000003,0.13140000000000002,Profitability,1.43455098934551
Operating Profit Margin (TTM),0.0776,-0.2583,Profitability,-0.3004258614014712
Net Profit Margin (TTM),0.0587,-0.20260000000000003,Profitability,-0.28973346495557745
Annual Dividend Yield,0.0161,0.0088,Dividend,1.8295454545454544
Dividend Change %,0.0,0.3011,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,-0.0053,Dividend,-0.0
EPS Growth (MRQ),0.2768,1.995,Gowth rates,0.13874686716791979
EPS Growth (TTM),0.068,-0.031200000000000002,Gowth rates,-2.1794871794871793
Revenue Growth (MRQ),0.0801,0.269,Gowth rates,0.2977695167286245
Revenue Growth (TTM),0.0158,0.1174,Gowth rates,0.1345826235093697
Return On Equity (TTM),0.1219,0.08130000000000001,Effectiveness,1.4993849938499382
Return On Assets (TTM),0.0553,0.0258,Effectiveness,2.1434108527131785
Return On Investment (TTM),0.0736,0.0425,Effectiveness,1.7317647058823529
Revenue Per Employee (TTM),311319.0,214262.0,Effectiveness,1.4529827967628417
Total Debt/Total Capital (MRQ),0.37020000000000003,0.38280000000000003,Financial strength,0.9670846394984326
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.2187,Financial strength,-0.0009144947416552355
Quick Ratio (MRQ),1.28,1.64,Financial strength,0.7804878048780488
Interest Coverage (MRQ),414.0,46.02,Financial strength,8.996088657105606
