,KR
% Above Low,0.2205
% Held by Institutions,0.7943000000000001
52-Wk Range,['40.18 - 62.78']
Annual Dividend $,1.04
Annual Dividend %,0.0212
Ask,50.16
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,0.5
Bid,48.83
Bid Size,900.0
Change Since Close,-0.21| |(-0.43%)
Closing Price,49.04
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.28
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.355
Last (size),700.0
Last (time),5:00p ET 11/25/22
Last Trade,48.83
Market Cap,35.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.94
Prev Close,49.04
Short Interest,0.0216
Today's Open,
Volume,6.0
Volume 10-day Avg,4962280.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,0.1507246376811595
Growth 1yr High Est,0.20329670329670324
Growth 1yr Consensus Est,0.17701067048893138
Growth 2yr Low Est,0.04765451027634798
Growth 2yr High Est,0.1324702694565708
Growth 2yr Consensus Est,0.0900623898664594
Growth 5yr Low Est,0.17146687905439958
Growth 5yr High Est,0.21334647926610045
Growth 5yr Consensus Est,0.19240667916025
Growth 5yr Actual/Est,0.1938854758182028
Growth 3yr Historic,0.1612484044583054
Price/Earnings (TTM),14.94092
Price/Sales (TTM),0.24352
Price/Book (MRQ),3.63598
Price/Cash Flow (TTM),6.57116
5yr Low,20.7
5yr High,62.78
5yr Avg Return,0.13803333333333334
EPS Growth 5yr,0.012296
Revenue Growth 5yr,0.0363622
Dividend Growth 5yr,0.1162884
Short Int Current Month,15349658.0
Short Int Prev Month,15762981.0
Short Int Pct of Float,0.0216161
Days to Cover,3.09926
Float,711.1119
Shares Outstanding,715.8063
Institutions Holding Shares,1400.0
FCF Growth 5yr,0.3924978687689949
"Price/Earnings (TTM, GAAP)",14.94
"PEG Ratio (TTM, GAAP)",1.28
Gross Profit Margin (TTM),0.2159
Operating Profit Margin (TTM),0.0298
Net Profit Margin (TTM),0.017
Annual Dividend Yield,0.0212
Dividend Change %,0.1471
"Dividend Growth Rate, 3 Years",0.1375
EPS Growth (MRQ),
EPS Growth (TTM),1.1918000000000002
Revenue Growth (MRQ),
Revenue Growth (TTM),0.0802
Return On Equity (TTM),0.2555
Return On Assets (TTM),0.050499999999999996
Return On Investment (TTM),0.07540000000000001
Revenue Per Employee (TTM),343205.0
Total Debt/Total Capital (MRQ),0.5794
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.28
Interest Coverage (MRQ),40.08
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-01-27 00:00:00
theStreet since,2020-01-06 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-01-27 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
