,RF
% Below High,0.11539999999999999
% Held by Institutions,0.757
52-Wk Range,['18.01 - 25.57']
Annual Dividend $,0.8
Annual Dividend %,0.035
Ask,22.62
Ask Size,2200.0
B/A Ratio,1.5909090909090908
B/A Size,3500x2200
Beta,1.2
Bid,22.61
Bid Size,3500.0
Day Change $,-0.25
Day Change %,-0.0109
Day High,22.84
Day Low,22.54
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",2.01
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.369
Last (size),42.0
Last (time),12:38p ET 11/28/22
Market Cap,21.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.38
Prev Close,22.87
Price,22.62
Short Interest,0.0218
Today's Open,22.66
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-20 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.11570247933884292
Growth 1yr High Est,-0.17314487632508846
Growth 1yr Consensus Est,-0.1444236778319657
Growth 2yr Low Est,-0.09056152004325324
Growth 2yr High Est,0.011718160128054045
Growth 2yr Consensus Est,-0.0394216799575996
Growth 5yr Low Est,0.1080525733117067
Growth 5yr High Est,0.21527466447961147
Growth 5yr Consensus Est,0.16166361889565906
Growth 5yr Actual/Est,0.27745821901128626
Growth 3yr Historic,0.27377682677567716
Price/Earnings (TTM),11.38185
Price/Sales (TTM),3.12073
Price/Book (MRQ),1.58136
Price/Cash Flow (TTM),9.44773
5yr Low,6.94
5yr High,25.57
5yr Avg Return,0.07001666666666667
EPS Growth 5yr,0.2358762
Revenue Growth 5yr,0.0136247
Dividend Growth 5yr,0.20982209999999998
Short Int Current Month,20226508.0
Short Int Prev Month,17168042.0
Short Int Pct of Float,0.021759
Days to Cover,3.02104
Float,929.7509
Shares Outstanding,934.4456
Institutions Holding Shares,1175.0
FCF Growth 5yr,0.31206361500449237
"Price/Earnings (TTM, GAAP)",11.38
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3716
Net Profit Margin (TTM),0.2918
Annual Dividend Yield,0.035
Dividend Change %,0.0242
"Dividend Growth Rate, 3 Years",0.157
EPS Growth (MRQ),-0.276
EPS Growth (TTM),-0.24670000000000003
Revenue Growth (MRQ),0.16280000000000003
Revenue Growth (TTM),0.1273
Return On Equity (TTM),0.12480000000000001
Return On Assets (TTM),0.012700000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-10-21 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-01-25 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
