,OPEN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-128.31,Valuation,
Price/Sales (TTM),0.08,1.78,Valuation,0.0449438202247191
Price/Book (MRQ),0.88,2.29,Valuation,0.38427947598253276
"PEG Ratio (TTM, GAAP)",,-1.83,Valuation,
Gross Profit Margin (TTM),0.0525,0.2696,Profitability,0.19473293768545993
Operating Profit Margin (TTM),-0.0461,-0.2328,Profitability,0.19802405498281786
Net Profit Margin (TTM),-0.0693,-0.1213,Profitability,0.571310799670239
Annual Dividend Yield,,0.0044,Dividend,
Dividend Change %,,0.0943,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0072,Dividend,
EPS Growth (MRQ),-16.0594,1.0171,Gowth rates,-15.789401238816245
EPS Growth (TTM),-0.9897,0.7006,Gowth rates,-1.4126463031687126
Revenue Growth (MRQ),-0.19940000000000002,0.16149999999999998,Gowth rates,-1.2346749226006195
Revenue Growth (TTM),2.7169,0.44439999999999996,Gowth rates,6.113636363636364
Return On Equity (TTM),-0.5946,0.0932,Effectiveness,-6.379828326180258
Return On Assets (TTM),-0.12210000000000001,0.0415,Effectiveness,-2.942168674698795
Return On Investment (TTM),-0.20989999999999998,0.0722,Effectiveness,-2.9072022160664814
Revenue Per Employee (TTM),5870734.0,1051798.0,Effectiveness,5.581617382805444
Total Debt/Total Capital (MRQ),0.8436,0.5311,Financial strength,1.5884014309922803
Change in Debt/Total Capital Quarter over Quarter,0.0015,-0.0005,Financial strength,-3.0
Quick Ratio (MRQ),0.97,0.08,Financial strength,12.125
Interest Coverage (MRQ),-7.03,3.44,Financial strength,-2.043604651162791
