,OPEN
% Above Low,0.3835
% Held by Institutions,0.6476000000000001
52-Wk Range,['1.46 - 16.68']
Annual Dividend $,
Annual Dividend %,
Ask,2.02
Ask Size,100300.0
B/A Ratio,0.03090727816550349
B/A Size,3100x100300
Beta,
Bid,2.01
Bid Size,3100.0
Day Change $,-0.0501
Day Change %,-0.0242
Day High,2.03
Day Low,2.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.83
Ex-dividend Date,No dividend
Historical Volatility,1.082
Last (size),9200.0
Last (time),9:31a ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,2.07
Price,2.02
Short Interest,0.1226
Today's Open,2.03
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.09025270758122739
Growth 2yr High Est,-0.645
Growth 2yr Consensus Est,-0.3676263537906137
Growth 5yr Low Est,-0.09025270758122739
Growth 5yr High Est,-0.645
Growth 5yr Consensus Est,-0.3676263537906137
Growth 5yr Actual/Est,0.061999399550154766
Growth 3yr Historic,-0.19338422391857504
Price/Earnings (TTM),
Price/Sales (TTM),0.07941
Price/Book (MRQ),0.87991
Price/Cash Flow (TTM),
5yr Low,1.46
5yr High,39.24
5yr Avg Return,-0.03520000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.8830935
Dividend Growth 5yr,
Short Int Current Month,64999077.0
Short Int Prev Month,74893124.0
Short Int Pct of Float,0.1226117
Days to Cover,1.77141
Float,537.7135
Shares Outstanding,634.2025
Institutions Holding Shares,382.0
FCF Growth 5yr,-0.5256969547510509
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0525
Operating Profit Margin (TTM),-0.0461
Net Profit Margin (TTM),-0.0693
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-16.0594
EPS Growth (TTM),-0.9897
Revenue Growth (MRQ),-0.19940000000000002
Revenue Growth (TTM),2.7169
Return On Equity (TTM),-0.5946
Return On Assets (TTM),-0.12210000000000001
Return On Investment (TTM),-0.20989999999999998
Revenue Per Employee (TTM),5870734.0
Total Debt/Total Capital (MRQ),0.8436
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),0.97
Interest Coverage (MRQ),-7.03
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-09-02 00:00:00
theStreet since,2022-03-29 00:00:00
ford since,2022-09-02 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
