,AEE
% Below High,0.1047
% Held by Institutions,0.7826000000000001
52-Wk Range,['73.28 - 99.20']
Annual Dividend $,2.36
Annual Dividend %,0.026600000000000002
Ask,97.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.4
Bid,75.98
Bid Size,200.0
Closing Price,88.81
Day Change $,0.67
Day Change %,0.0076
Day High,88.96
Day Low,88.38
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.0
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.222
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,23.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",22.23
Prev Close,88.14
Short Interest,0.018000000000000002
Today's Open,88.49
Volume,350012.0
Volume 10-day Avg,1256260.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.0633245382585752
Growth 1yr High Est,0.05655526992287929
Growth 1yr Consensus Est,0.05993990409072725
Growth 2yr Low Est,0.06764241801266224
Growth 2yr High Est,0.0647739853264031
Growth 2yr Consensus Est,0.06620820166953267
Growth 5yr Low Est,0.0741466527933134
Growth 5yr High Est,0.07143816537109066
Growth 5yr Consensus Est,0.07279240908220203
Growth 5yr Actual/Est,0.06826697028306172
Growth 3yr Historic,0.035479744136460545
Price/Earnings (TTM),22.22595
Price/Sales (TTM),3.07931
Price/Book (MRQ),2.2505
Price/Cash Flow (TTM),9.67524
5yr Low,51.89
5yr High,99.2
5yr Avg Return,0.06181666666666666
EPS Growth 5yr,0.0745318
Revenue Growth 5yr,0.0102549
Dividend Growth 5yr,0.0510702
Short Int Current Month,4631697.0
Short Int Prev Month,4845795.0
Short Int Pct of Float,0.0180108
Days to Cover,2.60919
Float,257.4849
Shares Outstanding,258.5222
Institutions Holding Shares,876.0
FCF Growth 5yr,0.05911322371315638
"Price/Earnings (TTM, GAAP)",22.23
"PEG Ratio (TTM, GAAP)",3.55
Gross Profit Margin (TTM),0.43270000000000003
Operating Profit Margin (TTM),0.19260000000000002
Net Profit Margin (TTM),0.1396
Annual Dividend Yield,0.026600000000000002
Dividend Change %,0.1
"Dividend Growth Rate, 3 Years",0.0599
EPS Growth (MRQ),1.1827
EPS Growth (TTM),0.0461
Revenue Growth (MRQ),0.336
Revenue Growth (TTM),0.2071
Return On Equity (TTM),0.1042
Return On Assets (TTM),0.0288
Return On Investment (TTM),0.0313
Revenue Per Employee (TTM),817903.0
Total Debt/Total Capital (MRQ),0.5914
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),0.57
Interest Coverage (MRQ),4.87
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
cfra since,2019-11-09 00:00:00
ford since,2020-09-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-06-04 00:00:00
