,WEN
% Below High,0.094
% Held by Institutions,0.7084
52-Wk Range,['15.77 - 24.48']
Annual Dividend $,0.5
Annual Dividend %,0.0223
Ask,22.27
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.9
Bid,22.18
Bid Size,1000.0
Closing Price,22.18
Day Change $,-0.24
Day Change %,-0.010700000000000001
Day High,22.53
Day Low,22.15
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.87
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.311
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.85
Prev Close,22.42
Short Interest,0.0264
Today's Open,22.35
Volume,5048035.0
Volume 10-day Avg,2267408.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,0.05063291139240489
Growth 1yr High Est,0.04761904761904767
Growth 1yr Consensus Est,0.04912597950572628
Growth 2yr Low Est,0.07953332316608197
Growth 2yr High Est,0.14312770562770571
Growth 2yr Consensus Est,0.11133051439689384
Growth 5yr Low Est,0.13826602301343693
Growth 5yr High Est,0.14343808819432752
Growth 5yr Consensus Est,0.14085205560388223
Growth 5yr Actual/Est,0.14855618211689278
Growth 3yr Historic,0.1011745465358311
Price/Earnings (TTM),25.85451
Price/Sales (TTM),2.3502
Price/Book (MRQ),10.91554
Price/Cash Flow (TTM),14.81768
5yr Low,6.82
5yr High,29.46
5yr Avg Return,0.08994999999999999
EPS Growth 5yr,0.1293805
Revenue Growth 5yr,0.05734740000000001
Dividend Growth 5yr,0.11907830000000001
Short Int Current Month,5142373.0
Short Int Prev Month,5828393.0
Short Int Pct of Float,0.026411699999999996
Days to Cover,1.92448
Float,194.7941
Shares Outstanding,213.027
Institutions Holding Shares,401.0
FCF Growth 5yr,2.3095508349247322
"Price/Earnings (TTM, GAAP)",25.85
"PEG Ratio (TTM, GAAP)",2.62
Gross Profit Margin (TTM),0.6147
Operating Profit Margin (TTM),0.1704
Net Profit Margin (TTM),0.0926
Annual Dividend Yield,0.0223
Dividend Change %,0.4828
"Dividend Growth Rate, 3 Years",0.08140000000000001
EPS Growth (MRQ),0.05280000000000001
EPS Growth (TTM),0.0493
Revenue Growth (MRQ),-0.0097
Revenue Growth (TTM),0.0706
Return On Equity (TTM),0.3841
Return On Assets (TTM),0.0352
Return On Investment (TTM),0.0382
Revenue Per Employee (TTM),140152.0
Total Debt/Total Capital (MRQ),0.8873000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),2.6
Interest Coverage (MRQ),3.23
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-20 00:00:00
theStreet since,2022-11-25 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
marketEdge opinion since,
