,WEN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",25.85,114.03,Valuation,0.2266947294571604
Price/Sales (TTM),2.35,5.62,Valuation,0.4181494661921708
Price/Book (MRQ),10.92,8.49,Valuation,1.2862190812720848
"PEG Ratio (TTM, GAAP)",2.62,0.53,Valuation,4.943396226415095
Gross Profit Margin (TTM),0.6147,0.4054,Profitability,1.516280217069561
Operating Profit Margin (TTM),0.1704,0.163,Profitability,1.045398773006135
Net Profit Margin (TTM),0.0926,0.0779,Profitability,1.1887034659820284
Annual Dividend Yield,0.0223,0.011200000000000002,Dividend,1.9910714285714284
Dividend Change %,0.4828,0.056100000000000004,Dividend,8.606060606060606
"Dividend Growth Rate, 3 Years",0.08140000000000001,0.031000000000000003,Dividend,2.6258064516129034
EPS Growth (MRQ),0.05280000000000001,0.3309,Gowth rates,0.15956482320942883
EPS Growth (TTM),0.0493,2.1359,Gowth rates,0.023081604944051686
Revenue Growth (MRQ),-0.0097,0.38439999999999996,Gowth rates,-0.02523413111342352
Revenue Growth (TTM),0.0706,0.7695000000000001,Gowth rates,0.0917478882391163
Return On Equity (TTM),0.3841,0.19090000000000001,Effectiveness,2.012048192771084
Return On Assets (TTM),0.0352,0.0758,Effectiveness,0.46437994722955145
Return On Investment (TTM),0.0382,0.1005,Effectiveness,0.38009950248756214
Revenue Per Employee (TTM),140152.0,285753.0,Effectiveness,0.49046554191907
Total Debt/Total Capital (MRQ),0.8873000000000001,1.1596,Financial strength,0.7651776474646431
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.002,Financial strength,0.44999999999999996
Quick Ratio (MRQ),2.6,0.81,Financial strength,3.2098765432098766
Interest Coverage (MRQ),3.23,40.22,Financial strength,0.08030830432620586
