,SSB
% Below High,0.0821
% Held by Institutions,0.7992
52-Wk Range,['72.26 - 93.34']
Annual Dividend $,2.0
Annual Dividend %,0.0227
Ask,85.67
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,85.58
Bid Size,100.0
Day Change $,-2.26
Day Change %,-0.025699999999999997
Day High,88.07
Day Low,85.68
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",6.23
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.313
Last (size),100.0
Last (time),3:16p ET 11/28/22
Market Cap,6.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.13
Prev Close,87.94
Price,85.68
Short Interest,0.014199999999999999
Today's Open,87.09
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.036337209302325535
Growth 1yr High Est,-0.1080368906455863
Growth 1yr Consensus Est,-0.07218704997395592
Growth 2yr Low Est,0.07911646322214039
Growth 2yr High Est,0.11141730061516847
Growth 2yr Consensus Est,0.09526688191865443
Growth 5yr Low Est,0.09891074959668172
Growth 5yr High Est,0.1451540885902318
Growth 5yr Consensus Est,0.12203241909345676
Growth 5yr Actual/Est,0.13001406856517936
Growth 3yr Historic,0.09747065108792186
Price/Earnings (TTM),14.1265
Price/Sales (TTM),4.33512
Price/Book (MRQ),1.35231
Price/Cash Flow (TTM),12.69893
5yr Low,40.42
5yr High,94.5
5yr Avg Return,0.016600000000000014
EPS Growth 5yr,0.09912499999999999
Revenue Growth 5yr,0.2663167
Dividend Growth 5yr,0.09673870000000001
Short Int Current Month,1057570.0
Short Int Prev Month,1430617.0
Short Int Pct of Float,0.0141609
Days to Cover,3.48744
Float,74.7855
Shares Outstanding,75.69555
Institutions Holding Shares,407.0
FCF Growth 5yr,0.34207502268335416
"Price/Earnings (TTM, GAAP)",14.13
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3815
Net Profit Margin (TTM),0.2992
Annual Dividend Yield,0.0227
Dividend Change %,0.0213
"Dividend Growth Rate, 3 Years",0.1164
EPS Growth (MRQ),0.1151
EPS Growth (TTM),-0.0258
Revenue Growth (MRQ),0.1509
Revenue Growth (TTM),0.1218
Return On Equity (TTM),0.09460000000000002
Return On Assets (TTM),0.010700000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-30 00:00:00
theStreet since,2020-11-02 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
