,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,94.5,93.25,88.1,87.98,93.26,93.34,,,,,
low,86.2,56.55,58.87,40.42,62.6,72.26,,,,,
change,-0.043899999999999995,-0.3145,0.4631,-0.177,0.10880000000000001,0.0631,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Due from Banks,,,,,,,477.0,588.0,562.0,395.0,Balance Sheet
Interest-Earning Deposits,,,,,,,348.0,30.0,61.0,73.0,Balance Sheet
Fed. Fund/Resale,,,,,,,6019.0,5414.0,4099.0,2342.0,Balance Sheet
Trading Account Assets,,,,,,,78.0,74.0,88.0,52.0,Balance Sheet
FHLB Stock,,,,,,,146.0,165.0,165.0,165.0,Balance Sheet
Other Short Trm Invest.,,,,,,,429.0,427.0,683.0,1098.0,Balance Sheet
Securities Held,,,,,,,1820.0,2828.0,2806.0,2738.0,Balance Sheet
Securities for Sale,,,,,,,5193.0,5924.0,5666.0,5370.0,Balance Sheet
Total Invest. Securities,,,,,,,7013.0,8752.0,8472.0,8108.0,Balance Sheet
Loans Held for Sale,,,,,,,192.0,130.0,74.0,34.0,Balance Sheet
"Other Erng. Assets, Total",,,,,,,14225.0,14993.0,13643.0,11873.0,Balance Sheet
Total Gross Loans,,,,,,,23928.0,26556.0,27935.0,28836.0,Balance Sheet
Loan Loss Allowances,,,,,,,-302.0,-300.0,-320.0,-324.0,Balance Sheet
Net Loans,,,,,,,23626.0,26256.0,27616.0,28512.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,558.0,568.0,563.0,531.0,Balance Sheet
"Goodwill, Net",,,,,,,1581.0,1924.0,1923.0,1923.0,Balance Sheet
Intangibles - Gross,,,,,,,258.0,278.0,279.0,280.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-130.0,-138.0,-147.0,-154.0,Balance Sheet
Intangibles - Net,,,,,,,194.0,224.0,220.0,216.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,65.0,136.0,158.0,199.0,Balance Sheet
Disct. Ops. - LT Asset,,,,,,,10.0,6.0,6.0,25.0,Balance Sheet
Other Real Estate Owned,,,,,,,3.0,3.0,1.0,2.0,Balance Sheet
Other Assets,,,,,,,1222.0,1502.0,1517.0,1504.0,Balance Sheet
"Other Assets, Total",,,,,,,1225.0,1506.0,1518.0,1506.0,Balance Sheet
Total Assets,,,,,,,41960.0,46202.0,46207.0,45179.0,Balance Sheet
Accrued Expenses,,,,,,,116.0,126.0,124.0,121.0,Balance Sheet
Non-Interest Bearing Dep.,,,,,,,11499.0,14052.0,14337.0,13660.0,Balance Sheet
Interest Bearing Deposits,,,,,,,23556.0,24723.0,24539.0,24006.0,Balance Sheet
Total Deposits,,,,,,,35055.0,38776.0,38876.0,37666.0,Balance Sheet
Total ST Borrowings,,,,,,,781.0,770.0,670.0,558.0,Balance Sheet
Total Long Term Debt,,,,,,,327.0,406.0,392.0,392.0,Balance Sheet
Total Debt,,,,,,,1108.0,1176.0,1062.0,950.0,Balance Sheet
Deferred Income Tax,,,,,,,31.0,30.0,33.0,53.0,Balance Sheet
"Other Liabilities, Total",,,,,,,848.0,919.0,1072.0,1467.0,Balance Sheet
Total Liabilities,,,,,,,37157.0,41027.0,41167.0,40257.0,Balance Sheet
Common Stock,,,,,,,173.0,189.0,189.0,189.0,Balance Sheet
Additional Paid-In Capital,,,,,,,3653.0,4215.0,4196.0,4207.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,998.0,1064.0,1146.0,1241.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,-21.0,-294.0,-491.0,-717.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Comprehensive Income,,,,,,,0.0,,,,Balance Sheet
"Other Equity, Total",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,,,,4803.0,5174.0,5040.0,4921.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,41960.0,46202.0,46207.0,45179.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,69.0,76.0,76.0,76.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Interest & Fees on Loans,,,,,,,238310.0,233617.0,272000.0,312856.0,Income Statement
Inter & Divs/ Invest Securs,,,,,,,26846.0,33995.0,45024.0,45286.0,Income Statement
Fed. Fund/Resale,,,,,,,2225.0,2852.0,8635.0,16668.0,Income Statement
"Interest Income, Bank",,,,,,,267381.0,270464.0,325659.0,374810.0,Income Statement
Interest on Deposit,,,,,,,5121.0,4628.0,5776.0,10137.0,Income Statement
Inter on Other Borrowings,,,,,,,3900.0,4093.0,4823.0,4958.0,Income Statement
Fed Funds Sold/Secs Sold under Repurch Agrmnt,,,,,,,256.0,269.0,781.0,1506.0,Income Statement
Total Interest Expense,,,,,,,9277.0,8990.0,11380.0,16601.0,Income Statement
Net Interest Income,,,,,,,258104.0,261474.0,314279.0,358209.0,Income Statement
Loan Loss Provision,,,,,,,-9157.0,-8449.0,19286.0,23876.0,Income Statement
NetInterIn after Loan Loss Provision,,,,,,,267261.0,269923.0,294993.0,334333.0,Income Statement
Fees & Commish from Operat,,,,,,,82073.0,77208.0,80916.0,70006.0,Income Statement
Invest Securities Gains,,,,,,,2.0,,0.0,30.0,Income Statement
Other Revenue,,,,,,,9819.0,8882.0,7376.0,7142.0,Income Statement
