,MRK
Price/Earnings (TTM),17.80907
Price/Sales (TTM),4.62161
Price/Book (MRQ),6.12581
Price/Cash Flow (TTM),14.20668
5yr Low,52.83
5yr High,107.3
5yr Avg Return,0.13616666666666666
EPS Growth 5yr,0.28165209999999996
Revenue Growth 5yr,0.041168500000000004
Dividend Growth 5yr,0.0748732
Short Int Current Month,19467627.0
Short Int Prev Month,20358398.0
Short Int Pct of Float,0.0076873
Days to Cover,2.00227
Float,2532.665
Shares Outstanding,2535.396
Institutions Holding Shares,3760.0
% Held by Institutions,0.7335699999999999
FCF Growth 5yr,0.291688939255256
