,MRK
% Below High,0.0
% Held by Institutions,0.7336
52-Wk Range,['71.50 - 107.50']
Annual Dividend $,2.76
Annual Dividend %,0.025699999999999997
Ask,107.55
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,106.68
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,107.5
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",6.04
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.21
Last (size),32.0
Last (time),5:00p ET 11/25/22
Last Trade,107.5
Market Cap,272.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.81
Prev Close,107.5
Short Interest,0.0077
Today's Open,
Volume,144.0
Volume 10-day Avg,8619739.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.3071428571428574
Growth 1yr High Est,0.2864406779661015
Growth 1yr Consensus Est,0.29679176755447945
Growth 2yr Low Est,0.11873536299765813
Growth 2yr High Est,0.17945222304102182
Growth 2yr Consensus Est,0.14909379301933998
Growth 5yr Low Est,0.08280518149882907
Growth 5yr High Est,0.11961225952810106
Growth 5yr Consensus Est,0.10120872051346506
Growth 5yr Actual/Est,0.11274408065888736
Growth 3yr Historic,0.05043767305950053
Price/Earnings (TTM),17.80907
Price/Sales (TTM),4.62161
Price/Book (MRQ),6.12581
Price/Cash Flow (TTM),14.20668
5yr Low,52.83
5yr High,107.3
5yr Avg Return,0.13616666666666666
EPS Growth 5yr,0.28165209999999996
Revenue Growth 5yr,0.041168500000000004
Dividend Growth 5yr,0.0748732
Short Int Current Month,19467627.0
Short Int Prev Month,20358398.0
Short Int Pct of Float,0.0076873
Days to Cover,2.00227
Float,2532.665
Shares Outstanding,2535.396
Institutions Holding Shares,3760.0
FCF Growth 5yr,0.291688939255256
"Price/Earnings (TTM, GAAP)",17.81
"PEG Ratio (TTM, GAAP)",1.53
Gross Profit Margin (TTM),0.7084999999999999
Operating Profit Margin (TTM),0.3066
Net Profit Margin (TTM),0.26
Annual Dividend Yield,0.0257
Dividend Change %,0.0645
"Dividend Growth Rate, 3 Years",0.09880000000000001
EPS Growth (MRQ),-0.1771
EPS Growth (TTM),1.5965
Revenue Growth (MRQ),0.025099999999999997
Revenue Growth (TTM),0.2784
Return On Equity (TTM),0.38180000000000003
Return On Assets (TTM),0.1529
Return On Investment (TTM),0.1995
Revenue Per Employee (TTM),867265.0
Total Debt/Total Capital (MRQ),0.40590000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.22
Interest Coverage (MRQ),8.24
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-11 00:00:00
theStreet since,2018-06-11 00:00:00
cfra since,2021-10-01 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
