,MRK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.81,26.82,Valuation,0.6640566741237882
Price/Sales (TTM),4.62,18.12,Valuation,0.2549668874172185
Price/Book (MRQ),6.13,11.52,Valuation,0.5321180555555556
"PEG Ratio (TTM, GAAP)",1.53,0.46,Valuation,3.3260869565217392
Gross Profit Margin (TTM),0.7084999999999999,0.6774,Profitability,1.0459108355476823
Operating Profit Margin (TTM),0.3066,-0.8243,Profitability,-0.3719519592381414
Net Profit Margin (TTM),0.26,-0.8643000000000001,Profitability,-0.3008214740252227
Annual Dividend Yield,0.0257,0.0217,Dividend,1.1843317972350231
Dividend Change %,0.0645,0.0947,Dividend,0.6810982048574445
"Dividend Growth Rate, 3 Years",0.09880000000000001,0.08410000000000001,Dividend,1.1747919143876338
EPS Growth (MRQ),-0.1771,0.0882,Gowth rates,-2.007936507936508
EPS Growth (TTM),1.5965,0.5872999999999999,Gowth rates,2.718372211816789
Revenue Growth (MRQ),0.025099999999999997,0.0441,Gowth rates,0.5691609977324262
Revenue Growth (TTM),0.2784,0.17600000000000002,Gowth rates,1.5818181818181816
Return On Equity (TTM),0.38180000000000003,0.3019,Effectiveness,1.264657171248758
Return On Assets (TTM),0.1529,0.09210000000000002,Effectiveness,1.6601520086862105
Return On Investment (TTM),0.1995,0.1384,Effectiveness,1.4414739884393064
Revenue Per Employee (TTM),867265.0,1426391.0,Effectiveness,0.6080135110218727
Total Debt/Total Capital (MRQ),0.40590000000000004,0.4169,Financial strength,0.9736147757255937
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0,Financial strength,
Quick Ratio (MRQ),1.22,1.22,Financial strength,1.0
Interest Coverage (MRQ),8.24,26.1,Financial strength,0.3157088122605364
