,ESI
Price/Earnings (TTM),26.97493
Price/Sales (TTM),1.79545
Price/Book (MRQ),2.06392
Price/Cash Flow (TTM),13.66385
5yr Low,5.35
5yr High,26.92
5yr Avg Return,0.1411166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0627606
Dividend Growth 5yr,
Short Int Current Month,3204621.0
Short Int Prev Month,3613342.0
Short Int Pct of Float,0.0142949
Days to Cover,1.70478
Float,224.18
Shares Outstanding,242.0856
Institutions Holding Shares,341.0
% Held by Institutions,0.927984
FCF Growth 5yr,-0.9244409857805937
