,ESI
% Above Low,0.2704
% Held by Institutions,0.9279999999999999
52-Wk Range,['15.31 - 25.26']
Annual Dividend $,0.32
Annual Dividend %,0.0165
Ask,21.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,7.75
Bid Size,100.0
Closing Price,19.45
Day Change $,-0.06
Day Change %,-0.0031
Day High,19.51
Day Low,19.31
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.72
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.38200000000000006
Last (size),75.0
Last (time),5:00p ET 11/25/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.97
Prev Close,19.51
Short Interest,0.0143
Today's Open,19.41
Volume,412411.0
Volume 10-day Avg,1633450.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.04477611940298498
Growth 1yr High Est,0.028571428571428692
Growth 1yr Consensus Est,0.03667377398720684
Growth 2yr Low Est,-0.0026119402985074758
Growth 2yr High Est,0.06984126984126993
Growth 2yr Consensus Est,0.033614664771381225
Growth 5yr Low Est,0.13341269992747265
Growth 5yr High Est,0.170472582972583
Growth 5yr Consensus Est,0.15194264145002784
Growth 5yr Actual/Est,0.13931010498135843
Growth 3yr Historic,0.1321022727272727
Price/Earnings (TTM),26.97493
Price/Sales (TTM),1.79545
Price/Book (MRQ),2.06392
Price/Cash Flow (TTM),13.66385
5yr Low,5.35
5yr High,26.92
5yr Avg Return,0.1411166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0627606
Dividend Growth 5yr,
Short Int Current Month,3204621.0
Short Int Prev Month,3613342.0
Short Int Pct of Float,0.0142949
Days to Cover,1.70478
Float,224.18
Shares Outstanding,242.0856
Institutions Holding Shares,341.0
FCF Growth 5yr,-0.9244409857805937
"Price/Earnings (TTM, GAAP)",26.97
"PEG Ratio (TTM, GAAP)",4.34
Gross Profit Margin (TTM),0.3704
Operating Profit Margin (TTM),0.1242
Net Profit Margin (TTM),0.0684
Annual Dividend Yield,0.0165
Dividend Change %,4.0
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.15230000000000002
EPS Growth (TTM),-0.2122
Revenue Growth (MRQ),-0.08630000000000002
Revenue Growth (TTM),0.1454
Return On Equity (TTM),0.0748
Return On Assets (TTM),0.0357
Return On Investment (TTM),0.038900000000000004
Revenue Per Employee (TTM),494811.0
Total Debt/Total Capital (MRQ),0.45170000000000005
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),2.45
Interest Coverage (MRQ),7.39
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-30 00:00:00
ford since,2022-09-30 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-10-28 00:00:00
