,CCCC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),8.03,45.03,Valuation,0.17832556073728623
Price/Book (MRQ),1.22,12.61,Valuation,0.09674861221252974
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-2.204,-4.7459,Profitability,0.4644008512610886
Net Profit Margin (TTM),-2.2071,-4.5467,Profitability,0.485428992456067
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.1635,-0.0014000000000000002,Gowth rates,116.78571428571428
EPS Growth (TTM),-0.2303,0.027200000000000002,Gowth rates,-8.466911764705882
Revenue Growth (MRQ),-0.5118,1.3963999999999999,Gowth rates,-0.3665138928673733
Revenue Growth (TTM),0.4225,0.9747,Gowth rates,0.43346670770493484
Return On Equity (TTM),-0.2975,0.1967,Effectiveness,-1.5124555160142348
Return On Assets (TTM),-0.22,0.0016,Effectiveness,-137.5
Return On Investment (TTM),-0.24370000000000003,0.0219,Effectiveness,-11.12785388127854
Revenue Per Employee (TTM),399339.0,1476201.0,Effectiveness,0.2705180392101076
Total Debt/Total Capital (MRQ),0.034300000000000004,0.4675,Financial strength,0.07336898395721926
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,0.0036,Financial strength,0.47222222222222227
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
