,CCCC
% Above Low,0.6384000000000001
% Held by Institutions,0.8047
52-Wk Range,['4.84 - 38.05']
Annual Dividend $,
Annual Dividend %,
Ask,8.07
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,
Bid,7.0
Bid Size,100.0
Closing Price,7.93
Day Change $,0.07
Day Change %,0.0089
Day High,8.05
Day Low,6.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.19
Ex-dividend Date,No dividend
Historical Volatility,1.1520000000000001
Last (size),4.0
Last (time),12:59p ET 11/25/22
Market Cap,389.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.86
Short Interest,0.0925
Today's Open,7.81
Volume,444069.0
Volume 10-day Avg,443627.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.5253623188405798
Growth 2yr High Est,-0.4608695652173913
Growth 2yr Consensus Est,0.03224637681159426
Growth 5yr Low Est,0.5253623188405798
Growth 5yr High Est,-0.4608695652173913
Growth 5yr Consensus Est,0.03224637681159426
Growth 5yr Actual/Est,-0.04392160955555713
Growth 3yr Historic,-0.22927387078330475
Price/Earnings (TTM),
Price/Sales (TTM),8.03454
Price/Book (MRQ),1.22002
Price/Cash Flow (TTM),
5yr Low,4.84
5yr High,51.21
5yr Avg Return,-0.18373333333333336
Short Int Current Month,3949334.0
Short Int Prev Month,4876448.0
Short Int Pct of Float,0.09253679999999999
Days to Cover,6.82265
Float,43.44475
Shares Outstanding,48.95701
Institutions Holding Shares,166.0
FCF Growth 5yr,0.2617340917834328
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-2.204
Net Profit Margin (TTM),-2.2071
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1635
EPS Growth (TTM),-0.2303
Revenue Growth (MRQ),-0.5118
Revenue Growth (TTM),0.4225
Return On Equity (TTM),-0.2975
Return On Assets (TTM),-0.22
Return On Investment (TTM),-0.24370000000000003
Revenue Per Employee (TTM),399339.0
Total Debt/Total Capital (MRQ),0.034300000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-11-11 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
theStreet since,2021-11-11 00:00:00
newConstructs since,
marketEdge opinion since,
