,CL
% Below High,0.1033
% Held by Institutions,0.7872
52-Wk Range,['67.84 - 85.61']
Annual Dividend $,1.88
Annual Dividend %,0.0245
Ask,79.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,76.77
Bid Size,100.0
Closing Price,76.77
Day Change $,-0.16
Day Change %,-0.0021
Day High,77.23
Day Low,76.66
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",2.29
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.207
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,64.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",33.48
Prev Close,76.93
Short Interest,0.0104
Today's Open,77.13
Volume,1388825.0
Volume 10-day Avg,3543041.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.06666666666666665
Growth 1yr High Est,-0.058641975308642125
Growth 1yr Consensus Est,-0.06265432098765439
Growth 2yr Low Est,-0.021428571428571463
Growth 2yr High Est,0.03625278283748229
Growth 2yr Consensus Est,0.007412105704455413
Growth 5yr Low Est,0.021668718773213413
Growth 5yr High Est,0.05042969904359221
Growth 5yr Consensus Est,0.03604920890840281
Growth 5yr Actual/Est,0.02987460037041703
Growth 3yr Historic,0.03257292316219773
Price/Earnings (TTM),33.4822
Price/Sales (TTM),3.61419
Price/Book (MRQ),103.7358
Price/Cash Flow (TTM),24.06884
5yr Low,57.41
5yr High,86.41
5yr Avg Return,0.025233333333333333
EPS Growth 5yr,-0.012352
Revenue Growth 5yr,0.027719200000000003
Dividend Growth 5yr,0.029210600000000003
Short Int Current Month,8675641.0
Short Int Prev Month,9996043.0
Short Int Pct of Float,0.010398099999999999
Days to Cover,2.50488
Float,834.5015
Shares Outstanding,835.2142
Institutions Holding Shares,2109.0
FCF Growth 5yr,0.5715462407413333
"Price/Earnings (TTM, GAAP)",33.48
"PEG Ratio (TTM, GAAP)",15.75
Gross Profit Margin (TTM),0.5768
Operating Profit Margin (TTM),0.17149999999999999
Net Profit Margin (TTM),0.11900000000000001
Annual Dividend Yield,0.0245
Dividend Change %,0.0229
"Dividend Growth Rate, 3 Years",0.0255
EPS Growth (MRQ),0.026000000000000002
EPS Growth (TTM),-0.2675
Revenue Growth (MRQ),-0.006500000000000001
Revenue Growth (TTM),0.023
Return On Equity (TTM),3.1789
Return On Assets (TTM),0.1313
Return On Investment (TTM),0.1875
Revenue Per Employee (TTM),524882.0
Total Debt/Total Capital (MRQ),0.8868
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.71
Interest Coverage (MRQ),23.75
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2021-04-30 00:00:00
ford since,2022-07-22 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-05-02 00:00:00
