,ES
% Above Low,0.16870000000000002
% Held by Institutions,0.7861
52-Wk Range,['70.54 - 94.63']
Annual Dividend $,2.55
Annual Dividend %,0.030899999999999997
Ask,90.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,70.0
Bid Size,100.0
Closing Price,82.44
Day Change $,0.26
Day Change %,0.0032
Day High,82.89
Day Low,82.15
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",4.02
Ex-dividend,2022-09-23 00:00:00
Ex-dividend Date,09/23/22
Historical Volatility,0.242
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,28.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.51
Prev Close,82.18
Short Interest,0.0105
Today's Open,82.52
Volume,763196.0
Volume 10-day Avg,1541366.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.0633245382585752
Growth 1yr High Est,0.06666666666666665
Growth 1yr Consensus Est,0.06499560246262093
Growth 2yr Low Est,0.06516102843449845
Growth 2yr High Est,0.06458333333333333
Growth 2yr Consensus Est,0.06487218088391589
Growth 5yr Low Est,0.058165421706164844
Growth 5yr High Est,0.05936886997337815
Growth 5yr Consensus Est,0.058767145839771495
Growth 5yr Actual/Est,0.0649441682683442
Growth 3yr Historic,0.03354646828098157
Price/Earnings (TTM),20.5116
Price/Sales (TTM),2.42927
Price/Book (MRQ),1.87415
Price/Cash Flow (TTM),11.19273
5yr Low,52.76
5yr High,99.42
5yr Avg Return,0.049066666666666675
EPS Growth 5yr,0.0365971
Revenue Growth 5yr,0.054105600000000004
Dividend Growth 5yr,0.0624767
Short Int Current Month,3655675.0
Short Int Prev Month,4119345.0
Short Int Pct of Float,0.0105346
Days to Cover,2.3189
Float,347.0224
Shares Outstanding,348.3074
Institutions Holding Shares,1159.0
FCF Growth 5yr,0.020806415428892944
"Price/Earnings (TTM, GAAP)",20.51
"PEG Ratio (TTM, GAAP)",3.58
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1818
Net Profit Margin (TTM),0.1184
Annual Dividend Yield,0.0309
Dividend Change %,0.0617
"Dividend Growth Rate, 3 Years",0.060599999999999994
EPS Growth (MRQ),0.19210000000000002
EPS Growth (TTM),0.1673
Revenue Growth (MRQ),0.24989999999999998
Revenue Growth (TTM),0.22899999999999998
Return On Equity (TTM),0.09369999999999999
Return On Assets (TTM),0.0281
Return On Investment (TTM),0.0311
Revenue Per Employee (TTM),1281046.0
Total Debt/Total Capital (MRQ),0.5909000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),3.52
theStreet,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
theStreet since,2010-08-15 00:00:00
researchTeam since,2021-09-17 00:00:00
cfra since,2021-02-17 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
