,ES,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",20.51,21.45,Valuation,0.9561771561771563
Price/Sales (TTM),2.43,3.84,Valuation,0.6328125000000001
Price/Book (MRQ),1.87,2.52,Valuation,0.7420634920634921
"PEG Ratio (TTM, GAAP)",3.58,0.23,Valuation,15.565217391304348
Gross Profit Margin (TTM),,0.25170000000000003,Profitability,
Operating Profit Margin (TTM),0.1818,0.1625,Profitability,1.1187692307692307
Net Profit Margin (TTM),0.1184,0.1169,Profitability,1.0128314798973481
Annual Dividend Yield,0.0309,0.0296,Dividend,1.0439189189189189
Dividend Change %,0.0617,0.0463,Dividend,1.3326133909287257
"Dividend Growth Rate, 3 Years",0.060599999999999994,0.0688,Dividend,0.880813953488372
EPS Growth (MRQ),0.19210000000000002,0.6623,Gowth rates,0.29004982636267557
EPS Growth (TTM),0.1673,0.9514,Gowth rates,0.1758461215051503
Revenue Growth (MRQ),0.24989999999999998,0.24920000000000003,Gowth rates,1.0028089887640448
Revenue Growth (TTM),0.22899999999999998,0.16010000000000002,Gowth rates,1.4303560274828229
Return On Equity (TTM),0.09369999999999999,0.09480000000000001,Effectiveness,0.9883966244725737
Return On Assets (TTM),0.0281,0.0229,Effectiveness,1.2270742358078603
Return On Investment (TTM),0.0311,0.0269,Effectiveness,1.1561338289962826
Revenue Per Employee (TTM),1281046.0,1731151.0,Effectiveness,0.7399966842869282
Total Debt/Total Capital (MRQ),0.5909000000000001,0.5767,Financial strength,1.0246228541702793
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,0.0003,Financial strength,2.333333333333334
Quick Ratio (MRQ),0.66,0.62,Financial strength,1.0645161290322582
Interest Coverage (MRQ),3.52,6.31,Financial strength,0.5578446909667195
