,JAZZ
% Below High,0.0999
% Held by Institutions,0.9331
52-Wk Range,['117.64 - 169.98']
Annual Dividend $,
Annual Dividend %,
Ask,153.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,152.5
Bid Size,100.0
Closing Price,153.0
Day Change $,1.74
Day Change %,0.0115
Day High,154.02
Day Low,150.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.31
Ex-dividend Date,No dividend
Historical Volatility,0.322
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,9.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,151.26
Short Interest,0.0383
Today's Open,151.53
Volume,139627.0
Volume 10-day Avg,536508.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.13398058252427192
Growth 1yr High Est,0.13103448275862073
Growth 1yr Consensus Est,0.13250753264144632
Growth 2yr Low Est,-0.004071352573480513
Growth 2yr High Est,0.2049296582307516
Growth 2yr Consensus Est,0.10042915282863554
Growth 5yr Low Est,0.010255181641185662
Growth 5yr High Est,0.11117580954773998
Growth 5yr Consensus Est,0.06071549559446282
Growth 5yr Actual/Est,0.04740858411554097
Growth 3yr Historic,0.017570581992999906
Price/Earnings (TTM),
Price/Sales (TTM),2.68803
Price/Book (MRQ),3.5051
Price/Cash Flow (TTM),14.97956
5yr Low,86.88
5yr High,189.0
5yr Avg Return,0.029983333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.1576885
Dividend Growth 5yr,
Short Int Current Month,2349241.0
Short Int Prev Month,2393448.0
Short Int Pct of Float,0.0383115
Days to Cover,3.66421
Float,61.36959
Shares Outstanding,62.96632
Institutions Holding Shares,713.0
FCF Growth 5yr,0.5319572377967908
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8579000000000001
Operating Profit Margin (TTM),0.069
Net Profit Margin (TTM),-0.0018
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.5726
EPS Growth (TTM),0.8767
Revenue Growth (MRQ),0.0083
Revenue Growth (TTM),0.2518
Return On Equity (TTM),-0.005600000000000001
Return On Assets (TTM),-0.0006
Return On Investment (TTM),-0.0006
Revenue Per Employee (TTM),1119994.0
Total Debt/Total Capital (MRQ),0.6759999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),2.27
Interest Coverage (MRQ),2.35
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-08-10 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
marketEdge opinion since,
