,JAZZ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.82,Valuation,
Price/Sales (TTM),2.69,18.12,Valuation,0.14845474613686532
Price/Book (MRQ),3.51,11.52,Valuation,0.3046875
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.8579000000000001,0.6774,Profitability,1.2664599940950696
Operating Profit Margin (TTM),0.069,-0.8243,Profitability,-0.08370738808686158
Net Profit Margin (TTM),-0.0018,-0.8643000000000001,Profitability,0.0020826102047900035
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.08410000000000001,Dividend,
EPS Growth (MRQ),-1.5726,0.0882,Gowth rates,-17.829931972789115
EPS Growth (TTM),0.8767,0.5872999999999999,Gowth rates,1.4927634939553893
Revenue Growth (MRQ),0.0083,0.0441,Gowth rates,0.18820861678004536
Revenue Growth (TTM),0.2518,0.17600000000000002,Gowth rates,1.4306818181818182
Return On Equity (TTM),-0.005600000000000001,0.3019,Effectiveness,-0.018549188473004307
Return On Assets (TTM),-0.0006,0.09210000000000002,Effectiveness,-0.006514657980456025
Return On Investment (TTM),-0.0006,0.1384,Effectiveness,-0.004335260115606936
Revenue Per Employee (TTM),1119994.0,1426391.0,Effectiveness,0.7851942419715211
Total Debt/Total Capital (MRQ),0.6759999999999999,0.4169,Financial strength,1.62149196449988
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0,Financial strength,inf
Quick Ratio (MRQ),2.27,1.22,Financial strength,1.860655737704918
Interest Coverage (MRQ),2.35,26.1,Financial strength,0.09003831417624521
