,CYH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),0.04,1.32,Valuation,0.030303030303030304
Price/Book (MRQ),,4.31,Valuation,
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.8375,0.1318,Profitability,6.354324734446131
Operating Profit Margin (TTM),0.0886,0.0458,Profitability,1.9344978165938864
Net Profit Margin (TTM),-0.0037,0.0242,Profitability,-0.1528925619834711
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.8712000000000001,-0.1478,Gowth rates,-5.894451962110962
EPS Growth (TTM),-1.5138999999999998,-1.101,Gowth rates,1.375022706630336
Revenue Growth (MRQ),0.031000000000000003,0.0931,Gowth rates,0.33297529538131043
Revenue Growth (TTM),0.004,0.1191,Gowth rates,0.033585222502099076
Return On Equity (TTM),,7.2022,Effectiveness,
Return On Assets (TTM),-0.003,0.0403,Effectiveness,-0.07444168734491315
Return On Investment (TTM),-0.0038,0.016,Effectiveness,-0.2375
Revenue Per Employee (TTM),241235.0,1375304.0,Effectiveness,0.1754048559445766
Total Debt/Total Capital (MRQ),1.1092,0.4855,Financial strength,2.2846549948506696
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0015,Financial strength,0.3333333333333333
Quick Ratio (MRQ),1.22,0.31,Financial strength,3.935483870967742
Interest Coverage (MRQ),0.67,9.55,Financial strength,0.07015706806282722
