,CYH
% Above Low,0.9043000000000001
% Held by Institutions,0.787
52-Wk Range,['1.88 - 14.74']
Annual Dividend $,
Annual Dividend %,
Ask,3.89
Ask Size,4000.0
B/A Ratio,0.075
B/A Size,300x4000
Beta,2.0
Bid,3.57
Bid Size,300.0
Closing Price,3.58
Day Change $,0.19
Day Change %,0.055999999999999994
Day High,3.58
Day Low,3.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.52
Ex-dividend Date,No dividend
Historical Volatility,1.0150000000000001
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,482.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,3.39
Short Interest,0.0683
Today's Open,3.4
Volume,667212.0
Volume 10-day Avg,1431128.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.51338199513382
Growth 2yr High Est,-1.7999999999999998
Growth 2yr Consensus Est,-1.15669099756691
Growth 5yr Low Est,-0.51338199513382
Growth 5yr High Est,-1.7999999999999998
Growth 5yr Consensus Est,-1.15669099756691
Growth 5yr Actual/Est,-0.014351756620251066
Growth 3yr Historic,0.7347066167290887
Price/Earnings (TTM),
Price/Sales (TTM),0.0392
Price/Book (MRQ),
Price/Cash Flow (TTM),0.99643
5yr Low,1.79
5yr High,17.04
5yr Avg Return,0.2118166666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.0767546
Dividend Growth 5yr,
Short Int Current Month,8552594.0
Short Int Prev Month,11490889.0
Short Int Pct of Float,0.0683126
Days to Cover,3.60688
Float,126.1979
Shares Outstanding,134.7132
Institutions Holding Shares,240.0
FCF Growth 5yr,-4.1486186186186185
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8375
Operating Profit Margin (TTM),0.0886
Net Profit Margin (TTM),-0.0037
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8712000000000001
EPS Growth (TTM),-1.5138999999999998
Revenue Growth (MRQ),0.031000000000000003
Revenue Growth (TTM),0.004
Return On Equity (TTM),
Return On Assets (TTM),-0.003
Return On Investment (TTM),-0.0038
Revenue Per Employee (TTM),241235.0
Total Debt/Total Capital (MRQ),1.1092
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.22
Interest Coverage (MRQ),0.67
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2021-07-23 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-07-29 00:00:00
theStreet since,
