,UTI
% Above Low,0.3397
% Held by Institutions,0.7875
52-Wk Range,['5.27 - 11.45']
Annual Dividend $,
Annual Dividend %,
Ask,7.28
Ask Size,600.0
B/A Ratio,2.1666666666666665
B/A Size,1300x600
Beta,0.9
Bid,7.04
Bid Size,1300.0
Closing Price,7.06
Day Change $,-0.22
Day Change %,-0.0302
Day High,7.22
Day Low,7.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.67
Ex-dividend Date,No dividend
Historical Volatility,0.47700000000000004
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,238.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.91
Prev Close,7.28
Short Interest,0.033
Today's Open,7.2
Volume,137525.0
Volume 10-day Avg,97377.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2022-12-12 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.14285714285714302
Growth 2yr High Est,0.6440677966101696
Growth 2yr Consensus Est,0.25060532687651327
Growth 5yr Low Est,-0.14285714285714302
Growth 5yr High Est,0.6440677966101696
Growth 5yr Consensus Est,0.25060532687651327
Growth 5yr Actual/Est,1.2706656346749223
Growth 3yr Historic,0.9754901960784311
Price/Earnings (TTM),10.90539
Price/Sales (TTM),0.60607
Price/Book (MRQ),1.16153
Price/Cash Flow (TTM),5.40637
5yr Low,1.86
5yr High,11.45
5yr Avg Return,0.20558333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0070485
Dividend Growth 5yr,
Short Int Current Month,1080069.0
Short Int Prev Month,1296060.0
Short Int Pct of Float,0.0329998
Days to Cover,8.51581
Float,32.74565
Shares Outstanding,33.76749
Institutions Holding Shares,129.0
FCF Growth 5yr,1.6245893656268056
"Price/Earnings (TTM, GAAP)",10.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7702
Operating Profit Margin (TTM),0.0781
Net Profit Margin (TTM),0.0864
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.1111
EPS Growth (TTM),5.1657
Revenue Growth (MRQ),-0.011000000000000001
Revenue Growth (TTM),0.292
Return On Equity (TTM),0.1161
Return On Assets (TTM),0.06910000000000001
Return On Investment (TTM),0.0906
Revenue Per Employee (TTM),244342.0
Total Debt/Total Capital (MRQ),0.2425
Change in Debt/Total Capital Quarter over Quarter,0.0092
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.24
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-09 00:00:00
theStreet since,2022-10-07 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-09 00:00:00
cfra since,
marketEdge opinion since,
