,UTI
Price/Earnings (TTM),10.90539
Price/Sales (TTM),0.60607
Price/Book (MRQ),1.16153
Price/Cash Flow (TTM),5.40637
5yr Low,1.86
5yr High,11.45
5yr Avg Return,0.20558333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0070485
Dividend Growth 5yr,
Short Int Current Month,1080069.0
Short Int Prev Month,1296060.0
Short Int Pct of Float,0.0329998
Days to Cover,8.51581
Float,32.74565
Shares Outstanding,33.76749
Institutions Holding Shares,129.0
% Held by Institutions,0.787455
FCF Growth 5yr,1.6245893656268056
